T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,16,-149.1750755555631,0.05734748263888889,0.13398178222098878,0.11945323259162804,0.3143610283108331,True,25,5000
1.7,16,-160.59251555555633,0.06294409722222222,0.16342737526549592,0.17197847057007998,0.3057260195250153,True,25,5000
1.5,16,-169.89166222222195,0.07003914930555556,0.19907438856735224,0.23891728240612126,0.30637806891649944,True,25,5000
1.3,16,-181.74750222222247,0.08131822916666667,0.27760365606764426,0.3812754187499998,0.2864243698989627,True,25,5000
1.2,16,-189.74339555555517,0.09559644097222222,0.3682339588854333,0.6042640650061082,0.25650548733223677,True,25,5000
1.1,16,-201.58641777777555,0.12132517361111111,0.6214883851688858,1.1759551810535909,0.20598491324625756,True,25,5000
1.0,16,-236.23617777772856,0.25922526041666666,2.5420673873767896,4.749494520399306,0.4320527002539134,True,25,5000
0.9,16,-287.6552355555451,0.464396875,0.9242545595960553,0.7073565845679042,0.6580761836822057,True,25,5000
0.8,16,-300.14140444444473,0.4906141493055556,0.2746368130480014,0.04107515763647207,0.6659972177463884,True,25,5000
0.7,16,-304.79827555555465,0.4971876736111111,0.10973410327799649,0.00941875990961754,0.6665315806143413,True,25,5000
0.5,16,-307.0940571428568,0.49989765625,0.00843405530599739,0.00030512825892969886,0.6666635348940257,True,25,15000
0.3,16,-307.1997257142859,0.4999997767857143,5.713959265247266e-05,7.440051064122599e-07,0.6666666620528839,True,25,15000
0.1,16,-307.20000000000016,0.5,5.684341886080801e-12,0.0,0.6666666666666667,True,25,15000
