T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,16,-0.5543251736111453,0.0532053819444444,0.1320038654147417,0.1029479924035494,0.3143977476904552,False,38,5000
1.7,16,-0.597567812500002,0.0572545138888888,0.1620468369848201,0.1417885312454612,0.3082889463112696,False,38,5000
1.5,16,-0.6339081597222231,0.0618443576388888,0.1958870366220885,0.1882008837332819,0.3049957382624122,False,38,5000
1.3,16,-0.677442638888889,0.0692162326388888,0.2474716449148874,0.2710302311238723,0.3028237297619682,False,38,5000
1.2,16,-0.7040584374999983,0.0757270833333333,0.2979871826369557,0.3537786854166667,0.2998076720295205,False,38,5000
1.1,16,-0.737485277777773,0.0860047743055555,0.3668118917008411,0.4998786026497614,0.291621689001139,False,38,5000
1.0,16,-0.7801053124999986,0.1028612847222222,0.485694185775003,0.8088209462885803,0.2868425709763019,False,38,5000
0.9,16,-0.839865972222219,0.1430487847222222,0.7060310167657341,1.8575257242712624,0.2866466545015543,False,38,5000
0.8,16,-0.912985034722177,0.2104796875,0.7817741907980568,3.9726942151909705,0.4023632289275816,False,38,5000
0.7,16,-0.9777959722218603,0.3100381944444444,0.52843068494877,5.815777641093466,0.5547616650149997,False,38,5000
0.5,16,-1.0282272321427777,0.4219650669642857,0.1303950120404806,2.790417051983411,0.6470676172317972,False,38,15000
0.3,16,-1.0440248660714224,0.4702391741071428,0.0549360904257254,0.1759271827274962,0.6654659742675242,False,38,15000
0.1,16,-1.0539028124999954,0.4980100446428571,0.0311032689239709,0.0209228667092276,0.6666231522241319,False,38,15000
