T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,16,-141.98040000001302,0.05323871527777778,0.13254844776041708,0.1032011225887346,0.31452499278671886,False,2,5000
1.7,16,-153.03888888888864,0.05723263888888889,0.16378002043819156,0.1412567601670298,0.30861309306737994,False,2,5000
1.5,16,-162.1942311111104,0.06195112847222222,0.19269933728381577,0.18796102709747947,0.3100206107537974,False,2,5000
1.3,16,-173.38261333332977,0.06990885416666667,0.24873486998028368,0.2762404847756409,0.2992133524896379,False,2,5000
1.2,16,-180.3154488888882,0.07625069444444445,0.2947495310048195,0.3567297221193416,0.30548852226281686,False,2,5000
1.1,16,-188.8620799999983,0.08652795138888889,0.37578402299351826,0.5125299747404602,0.29090555314114297,False,2,5000
1.0,16,-199.39943111111083,0.10433168402777777,0.49714199873582743,0.8135901064795528,0.2925231695133068,False,2,5000
0.9,16,-214.44626666666503,0.13764513888888888,0.6607644882544396,1.6037036145747605,0.30875769407341913,False,2,5000
0.8,16,-233.13434666665867,0.2021118923611111,0.7643098461632912,3.86382682956935,0.382055466696573,False,2,5000
0.7,16,-251.05034666658673,0.33368151041666666,0.49858166358271966,4.604556979935518,0.5887165914742968,False,2,5000
0.5,16,-263.55397714284817,0.4399830357142857,0.10614969034872956,0.28646292408163276,0.6630532098562036,False,2,15000
0.3,16,-267.2791999999984,0.47028348214285715,0.05393886111038329,0.1752284481292321,0.6654717400835418,False,2,15000
0.1,16,-269.7985942857125,0.49800066964285716,0.030945656681069515,0.021023552423358183,0.6666229350569326,False,2,15000
