T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-0.5825793827160223,0.0382136188271604,0.1338746259006913,0.1208268809975137,0.3053433751856246,True,24,5000
1.7,24,-0.6267803395061846,0.0420894675925925,0.1663428968936098,0.1716534612881263,0.3124961400748427,True,24,5000
1.5,24,-0.66339123456795,0.0464771219135802,0.1974730160948604,0.2392623325508686,0.2996088186056346,True,24,5000
1.3,24,-0.7083354320987948,0.0547078317901234,0.263547138538199,0.3875213624241584,0.2965945620179454,True,24,5000
1.2,24,-0.7380552777778164,0.0625464891975308,0.3402657441392595,0.5662783800404378,0.2736115761809353,True,24,5000
1.1,24,-0.7779256172839166,0.0794704861111111,0.5006762602001853,1.021108756839226,0.2732359728040682,True,24,5000
1.0,24,-0.8889255555554963,0.1960364583333333,2.944196015723416,7.724595640239194,0.3120070986340025,True,24,5000
0.9,24,-1.1252441975308658,0.4673380787037037,0.8258819964819335,0.7334759036265304,0.6629913363080743,True,24,5000
0.8,24,-1.1723504629629824,0.4905997685185185,0.2792667961036461,0.0401000817515284,0.6663650693040017,True,24,5000
0.7,24,-1.1906054320987904,0.4971648533950617,0.1107730696721588,0.0097813857424203,0.6666034005666638,True,24,5000
0.5,24,-1.199545357142882,0.4998859126984127,0.0093054771928614,0.0003544501133561,0.6666650365858378,True,24,15000
0.3,24,-1.199999047619073,0.4999998015873015,5.078784930828764e-05,6.613000813615599e-07,0.6666666648360918,True,24,15000
0.1,24,-1.2000000000000255,0.5,1.0105496686365867e-11,0.0,0.6666666666666667,True,24,15000
