T,L,E,Ms,Cv,chi_s,U,periodica,intento
1.4,16,-167.64028571428398,0.06515066964285714,0.21215761645537623,0.22301131445881925,0.30504612881777404,False,9
1.3,16,-173.46440000000086,0.0693515625,0.24680835550506902,0.2804234151785712,0.2876567945763935,False,9
1.2,16,-180.12137142857105,0.07616294642857142,0.3047389333899907,0.3616954815051021,0.2942152076701011,False,9
1.1,16,-188.43925714285638,0.08524888392857143,0.37465699349595033,0.5112147237360855,0.27931867449865333,False,9
1.0,16,-199.6829714285711,0.10564899553571429,0.48801096551017054,0.8614029552774234,0.29722607844379245,False,9
0.9,16,-215.00114285714287,0.1398203125,0.6588994646005945,1.7070479588293659,0.29112045575049783,False,9
0.8,16,-233.59919999999713,0.20924888392857144,0.7782215362722943,3.8964340844228307,0.40235934965209375,False,9
0.7,16,-250.97902857140193,0.3408286830357143,0.45900524029036666,3.8337547575391793,0.6033620829080781,False,9
0.6,16,-258.88468571426387,0.3766986607142857,0.23514043636588947,4.7310568218537465,0.617965477974345,False,9
1.4,16,-167.33108571428573,0.06397879464285715,0.22385870186899506,0.2180200835914722,0.2985456475983733,False,4
1.3,16,-173.6374285714277,0.06944698660714285,0.24318922816538768,0.2741746835140307,0.3053172927212653,False,4
1.2,16,-180.48377142857274,0.07630970982142857,0.30553627093963504,0.35930956307132245,0.29615365776132885,False,4
1.1,16,-188.46782857142787,0.08668470982142858,0.38146456011766766,0.5193145639349487,0.2782915203028594,False,4
1.0,16,-200.38365714285763,0.10541796875,0.5117046709693511,0.834957487165179,0.27826133390294083,False,4
0.9,16,-213.97097142856967,0.14103404017857143,0.7062677616527898,1.757921778539541,0.289322908138258,False,4
0.8,16,-234.0449714285697,0.21962276785714285,0.7660207196867218,4.122175333227041,0.4287763529454378,False,4
0.7,16,-251.6921142856935,0.34504854910714283,0.42730116243234895,3.9292741061179015,0.6054726353451467,False,4
0.6,16,-259.63268571426755,0.4095630580357143,0.19684555045339874,1.4083310787361825,0.6514145576819448,False,4
