L,periodica,T,E_mean,E_sem,Ms_mean,Ms_sem,Cv_mean,Cv_sem,chi_s_mean,chi_s_sem,U_mean,U_sem,n_intentos
16,False,0.1,-269.7515697142841,0.04753678814670641,0.4955137276785714,0.002494865043458676,0.03067677547397801,0.00010511779812825444,0.020828258099488427,0.00013311823705653648,0.6666213804750692,2.1961843767252337e-06,100
16,False,0.5,-263.4450691428535,0.029880545568288196,0.43321994419642856,0.0020855057899514732,0.11396865364542005,0.001794499398148822,1.1500642395280594,0.2515078613136338,0.6558000296533498,0.0023145210643333784,100
16,False,1.0,-199.64436171428548,0.031815334389645816,0.10409903459821424,0.0002495222809141769,0.49573134761441423,0.0015665555493739182,0.8258910523748406,0.005049255932285662,0.2877902935298727,0.0022871706305320127,100
16,False,1.5,-162.17064628571427,0.02163051528255972,0.06188301897321424,5.129248364639248e-05,0.19352916275708634,0.0004000430876784997,0.18725894788318448,0.0003715134703888208,0.30846070037889395,0.0009121402240687669,100
16,False,2.0,-141.9192857142876,0.021855835009764814,0.05311331473214282,3.563633971911459e-05,0.13166227537729613,0.0002994229828586506,0.10334663191964281,0.00019106500926889812,0.3112624694222963,0.000835584524697728,100
16,False,2.5,-127.198907428574,0.027027888972180076,0.0491775055803571,3.125183902284202e-05,0.10122969457534663,0.00021441791336711483,0.07056611258832905,0.00013519216910620386,0.31310831318634613,0.0009527141772725262,100
16,False,3.0,-115.53448400000107,0.02883856857048598,0.046694854910714234,2.8972158683448797e-05,0.08219769959644278,0.0001774656142232296,0.05310509496545488,9.22877758512418e-05,0.31279248483572586,0.0009044029308952183,100
16,False,3.5,-105.94222400000093,0.033006530327685926,0.04512255580357139,3.0648950308313346e-05,0.06858215103057061,0.00014845023497854414,0.04243408521501453,7.877970844382198e-05,0.314415020975222,0.0008737052230747926,100
16,True,0.1,-307.07200000000023,0.12800000000000092,0.495625,0.0043749999999999995,-6.480149750132111e-12,5.882981098185769e-13,0.0,0.0,0.6666666666666667,2.2316322462394835e-17,100
16,True,0.5,-306.81192342857065,0.14945064271282543,0.4923960825892857,0.004280905661947118,0.03302218897346842,0.010659211194098642,0.5705444123214302,0.2489543727474735,0.655634824422267,0.00803828889911023,100
16,True,1.0,-235.95236342856114,0.21754659513184382,0.25793671316964284,0.0012787405135404586,2.5679320898490037,0.014406543780950867,4.705305160209662,0.02098737447343087,0.4266634356872083,0.0028833858231548807,100
16,True,1.5,-169.87250171428556,0.023500357268019273,0.06969112165178568,5.850904422727687e-05,0.20142260645419596,0.000422025967813003,0.23909669132493616,0.0005805750277612032,0.3024544594534841,0.0012065828016593816,100
16,True,2.0,-149.23534742857336,0.023065263085369263,0.057391294642857096,4.096885992488378e-05,0.13315877599145448,0.00026472127945086554,0.12004525163823337,0.0002341020956326002,0.31210618715870153,0.0009313851534555759,100
16,True,2.5,-134.2417634285796,0.02468123903932132,0.05206237723214281,3.208301848177632e-05,0.10353849246114337,0.00020297034405884147,0.07901116255612242,0.00014459458555727143,0.31308807697334684,0.0009591529348044638,100
16,True,3.0,-122.21282971429437,0.02758212470878486,0.04896688616071424,3.3663715053565945e-05,0.0844476934326531,0.00019927052631953812,0.05842748491284008,0.00012505415650526652,0.3126185854615556,0.0010148289689562605,100
16,True,3.5,-112.36398285714824,0.031050254810688634,0.04687018415178567,3.056905347790221e-05,0.07090713563044561,0.00016696124265199553,0.04592200561019493,8.517360840086148e-05,0.31224008179445517,0.0009725891313994096,100
