T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-325.18114666667856,0.036257407407407405,0.13218818677499813,0.10770650580246913,0.3140060611716571,False,4,5000
1.7,24,-350.37602666661473,0.039758834876543206,0.16425271340040914,0.15145303982036237,0.3166428237593141,False,4,5000
1.5,24,-370.98368000003137,0.043029706790123454,0.19538390971519906,0.20201430104023785,0.31561502458843527,False,4,5000
1.3,24,-396.93786666666404,0.04925300925925925,0.2614977727372182,0.3104816113722699,0.2993175200849949,False,4,5000
1.2,24,-413.3426222222154,0.054949884259259264,0.31662581475523494,0.4190148579668207,0.3029170062440002,False,4,5000
1.1,24,-434.6838933333321,0.06615239197530864,0.4333547012386307,0.6741903534574138,0.28614083461858364,False,4,5000
1.0,24,-465.4880622222344,0.09042060185185184,0.6977021538203493,1.3662201947839514,0.29560215844834714,False,4,5000
0.9,24,-520.426293333359,0.16990613425925924,1.1970346560038008,5.608668646081972,0.35051938404543936,False,4,5000
0.8,24,-580.8599111111122,0.34570219907407407,0.7413459345850506,5.108439615268139,0.6218878373300197,False,4,5000
0.7,24,-607.1048711111144,0.41242847222222223,0.29186718098538883,1.6954348773809336,0.6567349748133307,False,4,5000
0.5,24,-624.9483314285776,0.4559419146825397,0.07213549257115422,0.26858099342117825,0.6652231767100647,False,4,15000
0.3,24,-630.5405371428677,0.4783765376984127,0.03611697856184846,0.1543699544548005,0.6662099204710467,False,4,15000
0.1,24,-634.4839542857255,0.49860520833333327,0.021508079003574994,0.014576485813737605,0.6666531497472431,False,4,15000
