T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-0.5645116203703605,0.0363162422839506,0.1326990356787026,0.1088292740530692,0.3102839419689839,False,29,5000
1.7,24,-0.6082075462962883,0.0395633487654321,0.1618173065534494,0.1513688461611391,0.3100621639529763,False,29,5000
1.5,24,-0.644693796296385,0.0430138888888888,0.1981418880680585,0.2032598271604939,0.3099100131692288,False,29,5000
1.3,24,-0.6889583950617895,0.0491881558641975,0.2578841814582485,0.3076342481474891,0.3077197169206317,False,29,5000
1.2,24,-0.7174556327160934,0.0552806327160493,0.3156302011294052,0.4243906751000231,0.2985579803551836,False,29,5000
1.1,24,-0.7542335493827185,0.0666258487654321,0.425927398161704,0.6885878761659803,0.2817140242060123,False,29,5000
1.0,24,-0.8090764351852127,0.0910284336419753,0.6969178893813882,1.4144187587028485,0.2759734371468694,False,29,5000
0.9,24,-0.899522407407412,0.1489638503086419,1.1146308186921416,4.500475469203433,0.3016971215034479,False,29,5000
0.8,24,-1.007629969135819,0.3300949074074074,0.7529704916662023,7.778480609567879,0.6014756048857182,False,29,5000
0.7,24,-1.0539718672839595,0.4095104166666666,0.2932426317489205,2.818494941578472,0.6539393576926299,False,29,5000
0.5,24,-1.0847826388888966,0.4555235119047618,0.0752253995229289,0.2831004837982256,0.665145057961428,False,29,15000
0.3,24,-1.094657678571449,0.4783707341269841,0.037217729883802,0.1536014544783448,0.6662109022625974,False,29,15000
0.1,24,-1.1015392261904964,0.4986175099206349,0.0210195934616624,0.014232601459625,0.6666534687720871,False,29,15000
