L,periodica,T,E_mean,E_sem,Ms_mean,Ms_sem,Cv_mean,Cv_sem,chi_s_mean,chi_s_sem,U_mean,U_sem,n_intentos
16,False,0.1,-269.79903028571283,0.00023948752191700176,0.49800698381696423,2.410227636274605e-06,0.030948133919821423,5.419061306476719e-05,0.020904498050853704,4.562252063041756e-05,0.6666231805962729,9.362232258673515e-08,40
16,False,0.3,-267.27081628571267,0.0011980206866631443,0.47018368582589287,1.789606273339278e-05,0.05424634146513717,9.260345085228654e-05,0.17703426496890806,0.0005266732707986262,0.6654598557191871,3.4147524301545047e-06,40
16,False,0.5,-263.4758017142736,0.023048443459338402,0.43526766183035714,0.0015923915630029811,0.11275494086416984,0.0014811096244295098,1.0281425451473176,0.2367422823862207,0.6585991746422599,0.0014835870697472154,40
16,False,0.7,-251.07590066658113,0.048494355835994624,0.33199504774305555,0.001671523394928427,0.4773805684920881,0.0024877447505158618,4.646470340057869,0.09546773794747818,0.5868995621934454,0.002405484314439837,40
16,False,0.8,-234.0579777777663,0.05789008355115476,0.21591706814236108,0.0008350649184142023,0.7953402918247064,0.0022546918066251045,4.0844784859596235,0.013190601748581533,0.4157668541785281,0.0023161386005756063,40
16,False,0.9,-214.5751235555549,0.030097780619679226,0.13886856119791666,0.0003390950824270903,0.6767314363891207,0.001621654796580414,1.6846265363952653,0.008690736606881919,0.29231546838137856,0.0016064367274962448,40
16,False,1.0,-199.7015297777777,0.02447333711653406,0.10379985460069445,0.00012268522434850186,0.49308179961519655,0.0009408278254204964,0.8231024716680653,0.0028780870654160247,0.2847996510502549,0.0014677456767215298,40
16,False,1.1,-188.7336137777771,0.018567613983676838,0.08620286675347222,7.948411039027246e-05,0.3702737563016646,0.0005442277150243749,0.5061471324261275,0.0011755935978180058,0.29437152219649954,0.0011714120664266764,40
16,False,1.2,-180.3252222222223,0.014676018022059542,0.07619950737847223,5.335886545966867e-05,0.2964595608613362,0.000514023352286974,0.358555810849288,0.0007292921350880096,0.3005900193510555,0.0007635808545746453,40
16,False,1.3,-173.35746755555488,0.01152199293731583,0.06967254340277777,3.8362507716467646e-05,0.2489883513754733,0.00037596264295313727,0.27509891745303594,0.0004109614143727604,0.3041693201717201,0.0006405137608983809,40
16,False,1.5,-162.17524755555536,0.01258504133661374,0.061971113281250004,3.221148520853477e-05,0.1936870170760579,0.00022729852885154797,0.18760710970978006,0.0002386914728816761,0.30847161686830094,0.0005364260161694654,40
16,False,1.7,-153.11726266666793,0.012892884575452046,0.05740072048611111,2.6940733067768715e-05,0.16183856192797644,0.0002514184560745257,0.14162729174286265,0.00018563397196212677,0.31126081480979256,0.0006032553314383337,40
16,False,2.0,-141.9379420000085,0.01511803430802627,0.0531954904513889,1.9700324930068398e-05,0.13156308685441642,0.00015077972999518586,0.10342875643224345,0.00012208133349676594,0.3121190685109983,0.0005054058490068133,40
16,True,0.1,-307.20000000000016,1.1147911615022623e-14,0.5,0.0,1.4210854715202002e-12,8.813197964429408e-13,0.0,0.0,0.6666666666666667,0.0,40
