T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-0.5643904320987272,0.0362842592592592,0.1329236107681847,0.1082163502469134,0.310435349265734,False,15,5000
1.7,24,-0.6083474537036394,0.0396247685185185,0.1640686026634996,0.151682506517792,0.309263031943258,False,15,5000
1.5,24,-0.6440306481481451,0.0432276234567901,0.1974212686727023,0.2032766451760402,0.3121762018720575,False,15,5000
1.3,24,-0.6887624999999621,0.0491054783950617,0.2593791490246918,0.3058357414028699,0.3044059747660813,False,15,5000
1.2,24,-0.717682376543252,0.0557355709876543,0.3201409942155323,0.4273124417323961,0.3063139726792314,False,15,5000
1.1,24,-0.754688163580279,0.0658299768518518,0.4353595345316681,0.6578889208684063,0.3021544407066397,False,15,5000
1.0,24,-0.8089072685184425,0.0885295524691358,0.6860961103593581,1.3346141901611794,0.2913977954081739,False,15,5000
0.9,24,-0.9019702932098588,0.1684349922839506,1.2031757861055834,5.376486690076778,0.3513323874115437,False,15,5000
0.8,24,-1.0102720833333327,0.3444654320987654,0.6688251386400955,6.084939343347076,0.6187875552967943,False,15,5000
0.7,24,-1.0546316203703858,0.4183763503086419,0.2790300406926352,0.5234675139317626,0.6620794014722071,False,15,5000
0.5,24,-1.0849219444444638,0.4561743055555556,0.0728222545524962,0.2647564549999863,0.6652452081213479,False,15,15000
0.3,24,-1.0946618849206542,0.4783551091269841,0.0367119559535992,0.1531258157548976,0.6662122109251681,False,15,15000
0.1,24,-1.1015363888889087,0.4986118055555555,0.0214627130036306,0.0144525765874981,0.666653264693136,False,15,15000
