T,L,E,M,Ms,Cv,chi,chi_s,U,periodica,intento,tao,h
2.0,24,-0.7464563271604961,187.73356147641164,0.0333694444444444,0.205197494790784,0.6351197095716985,0.092223729382716,0.30423690814965,True,14,5000,0.5
1.7,24,-0.8151492669753068,220.8335814759672,0.0343021219135802,0.2571161234992233,0.7627138671535687,0.1140351330786531,0.3071413899152082,True,14,5000,0.5
1.6,24,-0.8414111728396407,234.3449256683185,0.034425,0.2731167676109751,0.80281727882359,0.1231353461419753,0.3023902923364476,True,14,5000,0.5
1.5,24,-0.870262368827083,250.142841270194,0.0347549768518518,0.3023912263219873,0.886534666933206,0.1348220931635802,0.2974094823261012,True,14,5000,0.5
1.4,24,-0.9013811342592937,267.5153441034644,0.0346042824074074,0.3328513357859298,0.9399042029361492,0.1434911631338181,0.2991635258414855,True,14,5000,0.5
1.3,24,-0.9366104398148382,287.92209062020845,0.0345268132716049,0.360471005361737,1.020204858746319,0.1544996114111798,0.2994584966629764,True,14,5000,0.5
1.2,24,-0.9742790895061807,310.6088753583253,0.034441512345679,0.4006413221854871,1.1346014846526695,0.1662974392889803,0.2945769744612316,True,14,5000,0.5
1.1,24,-1.0161358950617245,337.9789782449279,0.0333906635802469,0.4469027103543265,1.262194177440708,0.1699210342654945,0.2901098713162502,True,14,5000,0.5
1.0,24,-1.0642789583333288,370.8716250749984,0.0321662422839506,0.4935504687650286,1.407913596443905,0.1787955761308299,0.274819598579185,True,14,5000,0.5
0.9,24,-1.1167281558641893,409.93733472589497,0.0300303626543209,0.5551284060712421,1.5865278132677316,0.1773439864645253,0.2670322457562034,True,14,5000,0.5
0.8,24,-1.1732386111110966,456.7393169040688,0.0261695216049382,0.5862939079550401,1.695794825633988,0.1575873814771948,0.2347977518873135,True,14,5000,0.5
0.7,24,-1.2306120833333212,508.8136708073154,0.0198952932098765,0.5242671432579445,1.5196866122176376,0.1191584477317263,0.1479555803253716,True,14,5000,0.5
0.6,24,-1.2736474305555414,551.0218884024799,0.0114140046296296,0.3263348021599445,0.8233708129482357,0.0760244638760288,-0.292213660630791,True,14,5000,0.5
0.5,24,-1.2943475694444277,571.0124282163367,0.0035565972222222,0.1057814330553002,0.2168235266417468,0.0382684852579365,-4.011760073206192,True,14,15000,0.5
0.4,24,-1.2994919047618891,575.6368103768464,0.0003040674603174,0.0145395448347092,0.0134975227779755,0.0031324868905895,-23.76720452880949,True,14,15000,0.5
0.3,24,-1.2999868749999843,575.9918288048913,7.093253968253969e-06,0.0006554892092093,0.0003058217912944,7.645762944066515e-05,-454.5773767040321,True,14,15000,0.5
0.2,24,-1.299999999999984,576.0,0.0,0.0,0.0,0.0,,True,14,15000,0.5
0.1,24,-1.299999999999984,576.0,0.0,0.0,0.0,0.0,,True,14,15000,0.5
