T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-0.5825624074074782,0.038207098765432,0.1338120589185286,0.1198383412277092,0.3119020927884315,True,19,5000
1.7,24,-0.627498117283861,0.0421502700617284,0.164902477827452,0.1708745303674453,0.3141344298271954,True,19,5000
1.5,24,-0.6633513271604742,0.0464661651234567,0.1986139242459484,0.2374714383807726,0.3098072614789001,True,19,5000
1.3,24,-0.7087014197530604,0.0543233024691358,0.2651298903495346,0.3785611852379447,0.2974131652471756,True,19,5000
1.2,24,-0.7379471604937474,0.0632175925925926,0.3338855539765375,0.5701919367283947,0.2801048883137675,True,19,5000
1.1,24,-0.7787953086419523,0.0794563271604938,0.5220927438134106,1.0818813738745487,0.2286815838238904,True,19,5000
1.0,24,-0.8856328086419508,0.1850263503086419,2.762901634014219,7.627396438023835,0.2692664854092638,True,19,5000
0.9,24,-1.126609074074077,0.4699327160493827,0.7323271764427013,0.2145439716353969,0.664763213780647,True,19,5000
0.8,24,-1.172738456790144,0.4908317901234568,0.2780370806961387,0.0378845276062822,0.6663814420354408,True,19,5000
0.7,24,-1.190659629629654,0.4971903549382716,0.1096716817738275,0.0094393539633382,0.6666055490295231,True,19,5000
0.5,24,-1.1995589285714532,0.4998900297619048,0.0089515166453363,0.0003318024688603,0.6666651401046326,True,19,15000
0.3,24,-1.1999992857143111,0.4999998511904761,3.809197472565072e-05,4.959893296074824e-07,0.6666666652936969,True,19,15000
0.1,24,-1.2000000000000255,0.5,1.0105496686365867e-11,0.0,0.6666666666666667,True,19,15000
