T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,16,-0.5544784027778207,0.05303828125,0.1323499101478447,0.1032146537413194,0.3136568796045567,False,37,5000
1.7,16,-0.5980530555555499,0.0572053819444444,0.1606412716066497,0.1409699436773783,0.3089363500834615,False,37,5000
1.5,16,-0.6336721527777743,0.0621669270833333,0.1948002141887425,0.1880930458217592,0.3108412689951744,False,37,5000
1.3,16,-0.6775546527777904,0.0695605034722222,0.2452146625984309,0.2703897753902541,0.3073143087413531,False,37,5000
1.2,16,-0.7042971875000044,0.0757970486111111,0.2926848475906654,0.3523978344843108,0.3033152798351893,False,37,5000
1.1,16,-0.736442083333332,0.0862310763888888,0.3728797191552178,0.5030620126192484,0.2943592328595414,False,37,5000
1.0,16,-0.7800396874999941,0.1034485243055555,0.4924624551083241,0.7952957223591821,0.2947603929558576,False,37,5000
0.9,16,-0.8386508333333373,0.14062890625,0.6919719193964482,1.773956689332563,0.2864831461392251,False,37,5000
0.8,16,-0.913724444444398,0.2154345486111111,0.7908987752236029,4.008249417351466,0.4188037055891075,False,37,5000
0.7,16,-0.9798213541663119,0.3188360243055556,0.4811338082484614,5.529306296624225,0.5680904141507461,False,37,5000
0.5,16,-1.0295215624999583,0.4406106026785714,0.1066844467572991,0.2665363670854503,0.6632600371053445,False,37,15000
0.3,16,-1.0440134374999945,0.4702037946428571,0.0544408911499279,0.1754568805697213,0.665470121548347,False,37,15000
0.1,16,-1.0538993749999963,0.4980008928571428,0.0311237900007199,0.0208673551021121,0.6666232473799338,False,37,15000
