T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,16,-0.5828863888889119,0.0571335069444444,0.1332735116987606,0.1199739393479938,0.3073073140983514,True,36,5000
1.7,16,-0.6277385416666686,0.06316875,0.1676146250480482,0.1712516888888889,0.3131724641902315,True,36,5000
1.5,16,-0.6633340972222221,0.069284375,0.1994744970529483,0.2353826770370372,0.3057463599255487,True,36,5000
1.3,16,-0.7107634027777766,0.0825301215277777,0.2722880451099387,0.3956421637449548,0.2900536816466227,True,36,5000
1.2,16,-0.7414575694444436,0.0935796875,0.3655603728386383,0.5743468212384262,0.252054725557281,True,36,5000
1.1,16,-0.7869594444444387,0.1216503472222222,0.611056728235928,1.1499719350729525,0.2255541526535885,True,36,5000
1.0,16,-0.9190724305553664,0.25416171875,2.511092996976487,4.67975386526042,0.4197398169565864,True,36,5000
0.9,16,-1.1222862499999435,0.4632473090277778,0.9444132143210447,0.7274607255637022,0.6576667586857949,True,36,5000
0.8,16,-1.1725569444444441,0.4906801215277778,0.2791532168208376,0.0405269140022124,0.6660040163663,True,36,5000
0.7,16,-1.190884722222219,0.4972683159722222,0.1063570481227432,0.0091565449707989,0.6665353705647604,True,36,5000
0.5,16,-1.1995405357142868,0.4998819196428571,0.0093723974198383,0.0003709861989591,0.666662859692398,True,36,15000
0.3,16,-1.200000000000001,0.5,-6.315935428978668e-13,0.0,0.6666666666666667,True,36,15000
0.1,16,-1.200000000000001,0.5,-5.684341886080801e-12,0.0,0.6666666666666667,True,36,15000
