L,periodica,T,h,E_mean,E_sem,M_mean,M_sem,Ms_mean,Ms_sem,Cv_mean,Cv_sem,chi_mean,chi_sem,chi_s_mean,chi_s_sem,U_mean,U_sem,n_intentos
24,True,0.1,0.5,-1.299999999999984,5.0940525990875e-17,576.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,2.54702629954375e-17,20
24,True,0.2,0.5,-1.299999999999984,5.0940525990875e-17,576.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,2.54702629954375e-17,20
24,True,0.3,0.5,-1.2999889037698256,8.202854084265549e-07,575.9932173366476,0.0005219346676396138,0.9999882242063493,9.061624653836153e-07,0.0005550428668806333,4.065833469805048e-05,0.00026914056323019194,2.6159974094540474e-05,0.00026914824456625297,2.6160720658983342e-05,0.6666664828378742,1.7724334472452784e-08,20
24,True,0.4,0.5,-1.2994783799603025,6.83967195643766e-06,575.6163395331562,0.005525500081334242,0.9993339583333334,9.588541683717328e-06,0.01514197403461518,0.0001929918866688483,0.014526706928551094,0.00029842058057278086,0.014526193876131188,0.0002984434221655539,0.6666534850059166,2.6818386297175325e-07,20
24,True,0.5,0.5,-1.2944382192460173,2.898363803000756e-05,571.1045112996771,0.08612238202607472,0.991500882936508,0.00014950008575426784,0.10531806599368185,0.0006404776886858671,0.20492285624434065,0.013204880429599013,0.2049263654750554,0.013204884653793134,0.6664336600836775,1.4437706461642928e-05,20
24,True,0.6,0.5,-1.2737769853394956,4.842449886910719e-05,551.2955956534299,0.06307747230146273,0.9571102546296297,0.00010954466995971098,0.32575886048764213,0.001177861470522391,0.8068299507978518,0.005440352102264936,0.8068329462345503,0.005441405782943883,0.6654783076416106,7.961632890547909e-06,20
24,True,0.7,0.5,-1.2299653356481401,8.30413373159748e-05,508.38572920601763,0.07792539083415895,0.8826140046296297,0.0001352918199794892,0.5289412349438637,0.002065656893102581,1.5190858879575841,0.005312531850700253,1.5190793497663009,0.005315071102244736,0.6635752341333487,1.110124186606971e-05,20
24,True,0.8,0.5,-1.17360115084876,6.740514716783033e-05,456.75459878669363,0.05646639527896724,0.792976601080247,9.805588060028798e-05,0.5783748224221892,0.0017191226660454861,1.6985755048520446,0.003859202442503559,1.6985839732760688,0.0038619701311489005,0.6617428733960918,1.1418583883373056e-05,20
24,True,0.9,0.5,-1.1167697650462922,6.231613078053858e-05,409.91123975022776,0.06411303223317852,0.7116516473765432,0.00011126368405752843,0.5471933160869684,0.001591154376918503,1.5913131768224087,0.003697891987399398,1.5913273165171162,0.003698062076287428,0.6602067761689299,1.5201054343084077e-05,20
24,True,1.0,0.5,-1.0640616905864169,7.599268401737445e-05,370.6846714517455,0.04625043861073625,0.6435495138888889,8.030295058632746e-05,0.5016101200814268,0.0012923671882524134,1.4177210214232117,0.0026512294236606614,1.4177265587314836,0.002649470444552176,0.6588400422293027,1.4992678682928851e-05,20
24,True,1.1,0.5,-1.0166610979938269,6.0949928699419296e-05,338.05441879069355,0.04745714891264394,0.5868999305555556,8.237578860125482e-05,0.44954024840391493,0.0009466128219422665,1.266272003589737,0.0030910539665845757,1.266269111789803,0.0030890566873381336,0.6574270398433704,2.3052436448902554e-05,20
24,True,1.2,0.5,-0.9739622222222245,6.818045509102011e-05,310.629959334237,0.04769186310389063,0.5392879012345679,8.284889351869135e-05,0.40338852484564774,0.0007626731433040743,1.1326392160519267,0.0013454741202060408,1.1326282919087363,0.0013440735818833448,0.6559903698714067,1.3461310171482056e-05,20
24,True,1.3,0.5,-0.9357843368055487,5.4750807899116614e-05,287.386853625475,0.04192913184959953,0.4989354205246913,7.280491716058769e-05,0.36280525797286034,0.0008458833329890419,1.025627563649651,0.0020245316478187214,1.0256259876895417,0.0020234160456677514,0.654451634752692,2.321033527488307e-05,20
24,True,1.4,0.5,-0.901325492283981,4.8380310151057195e-05,267.3963378591587,0.03371321579394633,0.46422930555555564,5.853336500745667e-05,0.32778222460079587,0.00044794815085755164,0.9410493445769031,0.0012592805673699423,0.9410416153103475,0.0012602697073311078,0.6527561713764471,1.8754292309808324e-05,20
24,True,1.5,0.5,-0.8699553221450718,4.5151474103538955e-05,249.90357769827338,0.030539355593670076,0.43386032021604937,5.2898166597928636e-05,0.2993422030501874,0.000556873266056799,0.8708629926177768,0.0015784439777697097,0.8708595928233842,0.0015776679874169996,0.6509061339368607,2.9260993681696606e-05,20
24,True,1.6,0.5,-0.8412857523148001,4.406531121371399e-05,234.47021621741737,0.024541382933734895,0.4070662191358025,4.248256025301628e-05,0.27555148959568176,0.00047864655518873136,0.80983859045032,0.0013475667491002446,0.8098315086640524,0.0013493747715271848,0.6489466682135425,2.8281053841845207e-05,20
24,True,1.7,0.5,-0.8148221450617112,5.691839364232072e-05,220.82289060243107,0.02983756631677538,0.3833734413580247,5.1842086697278564e-05,0.2534428563978329,0.0002981049612612783,0.7568860446384649,0.0010840186253828802,0.7568730173150122,0.0010802348751863427,0.6468838320550244,2.9889300610480337e-05,20
24,True,2.0,0.5,-0.74647193441357,6.812588182331191e-05,187.5429123797249,0.02773549951912806,0.32559650462962964,4.810628199538453e-05,0.20527605151806938,0.00041471720095249834,0.6362708114926632,0.000846993785119161,0.6361708533842603,0.0008548388122480312,0.6397767620279191,4.015909573720546e-05,20
