L,periodica,T,h,E_mean,E_sem,M_mean,M_sem,Ms_mean,Ms_sem,Cv_mean,Cv_sem,chi_mean,chi_sem,chi_s_mean,chi_s_sem,U_mean,U_sem,n_intentos
24,True,0.1,0.0,-1.2000000000000255,4.354652974618212e-17,0.0,0.0,0.5,0.0,-5.052748343182932e-12,3.1335814984637896e-12,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,40
24,True,0.1,0.5,-1.299999999999984,5.0940525990875e-17,576.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,2.54702629954375e-17,20
24,True,0.2,0.0,-1.2000000000000255,4.354652974618212e-17,0.0,0.0,0.5,0.0,-1.263187085795733e-12,7.833953746159474e-13,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,40
24,True,0.2,0.5,-1.299999999999984,5.0940525990875e-17,576.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,2.54702629954375e-17,20
24,True,0.3,0.0,-1.1999994682539938,5.577316530683672e-08,0.00012999628582036692,1.3874653375934231e-05,0.49999988715277777,1.204431406012888e-08,2.8480660294457113e-05,2.9914914197863807e-06,1.5705810751129964e-06,1.9043366989912498e-07,3.9265645668251636e-07,4.76097794683769e-08,0.6666666655800547,1.3160347015579667e-10,40
24,True,0.3,0.5,-1.2999889037698256,8.202854084259259e-07,575.9932173366476,0.0005219346676396137,0.9999882242063493,9.061624653845303e-07,0.000555042866880575,4.065833469805069e-05,0.000269140563230141,2.6159974094538322e-05,0.0002691482445662217,2.6160720658980205e-05,0.6666664828378742,1.7724334472452784e-08,20
24,True,0.4,0.0,-1.1999645386905018,5.924958667504645e-07,0.009534013313905267,0.000167989493891432,0.499991654265873,1.4830787698753116e-07,0.00109770048297259,1.8638124544243225e-05,0.00010862536587677707,2.413322769142124e-06,2.7539835905754373e-05,6.169464845483325e-07,0.6666665652286098,2.2678042672503836e-09,40
24,True,0.4,0.5,-1.2994783799603025,6.8396719564336456e-06,575.6163395331562,0.005525500081334242,0.9993339583333334,9.58854168371734e-06,0.01514197403461513,0.0001929918866688482,0.014526706928551045,0.00029842058057278183,0.014526193876131143,0.00029844342216555275,0.6666534850059166,2.681838629717532e-07,20
24,True,0.5,0.0,-1.1995613571428827,2.203921423503244e-06,0.12097940058855457,0.0006741298530188834,0.49988910838293654,6.308527215246468e-07,0.008976427965131286,4.7208676526138915e-05,0.001237058354158985,9.987911763556322e-06,0.000344236171396655,2.972084705366572e-06,0.6666650833169816,1.3605255384031047e-08,40
24,True,0.5,0.5,-1.2944382192460173,2.898363803000834e-05,571.1045112996771,0.08612238202607472,0.991500882936508,0.0001495000857542665,0.1053180659936818,0.0006404776886858688,0.2049228562443406,0.013204880429599017,0.20492636547505536,0.013204884653793136,0.6664336600836775,1.4437706461642926e-05,20
