T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-0.5824028703704265,0.0381515046296296,0.1350672995049472,0.1196638786998457,0.3103225210901306,True,23,5000
1.7,24,-0.6267550617283972,0.0421640817901234,0.1630773644522475,0.1701523468646614,0.3173378749233845,True,23,5000
1.5,24,-0.6633255864197527,0.0461902006172839,0.198482796158894,0.2357647276520351,0.3035109685167727,True,23,5000
1.3,24,-0.7085297839506923,0.0542784722222222,0.2619281570035646,0.3802635971272554,0.2925626583847862,True,23,5000
1.2,24,-0.7379058641975074,0.0624417052469135,0.3376388422116193,0.556110540894347,0.277357792613626,True,23,5000
1.1,24,-0.7786575925926486,0.0802760030864197,0.5108448199000047,1.0714570017177962,0.2359292639554594,True,23,5000
1.0,24,-0.8823905864197543,0.177141087962963,2.6418172773524526,7.184598811720679,0.2401636639931361,True,23,5000
0.9,24,-1.124598672839509,0.4660581790123456,0.8306533671973498,0.9932469688462398,0.6619502728270764,True,23,5000
0.8,24,-1.1724857407407592,0.4906538194444444,0.2772987676233165,0.0390104263021173,0.666372888306958,True,23,5000
0.7,24,-1.1906212037037252,0.4971717206790123,0.1116439235979123,0.0098229785408372,0.6666031182607588,True,23,5000
0.5,24,-1.1995557936508188,0.4998866071428571,0.0092561065357585,0.0003718940022814,0.6666649578384543,True,23,15000
0.3,24,-1.1999997619047875,0.4999999503968254,1.2698050632923382e-05,1.6533910240923433e-07,0.6666666662089842,True,23,15000
0.1,24,-1.200000000000026,0.5,-3.03164900590976e-11,0.0,0.6666666666666667,True,23,15000
