T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-324.9044711110882,0.03627229938271605,0.13389947434810287,0.10764099722050753,0.31083975215857396,False,24,5000
1.7,24,-350.6534933333482,0.03944494598765432,0.16443495491650695,0.15115500808470508,0.30765322085462354,False,24,5000
1.5,24,-371.01357333335426,0.043093287037037034,0.19742058212290836,0.20465761174897124,0.3091149250177816,False,24,5000
1.3,24,-396.873235555552,0.049546952160493825,0.25754284655797677,0.31407067304460806,0.3031039366111672,False,24,5000
1.2,24,-413.33911111115754,0.055573225308641984,0.3177156862044316,0.4251800841878142,0.30477404684246445,False,24,5000
1.1,24,-434.28256888887313,0.06608514660493828,0.4220910343025372,0.6815437926105183,0.2802772480235237,False,24,5000
1.0,24,-465.85769777779217,0.08933792438271604,0.7022054549956415,1.3724947159456455,0.2783101299389339,False,24,5000
0.9,24,-518.3479377777477,0.16174270833333335,1.1943718539774866,5.154466290732165,0.34457141928952895,False,24,5000
0.8,24,-580.7623377777898,0.34113719135802467,0.7115255793106849,6.118275891443763,0.6162659299249242,False,24,5000
0.7,24,-607.6236266666764,0.41887349537037033,0.27367648023142954,0.522910653780903,0.6621075348023221,False,24,5000
0.5,24,-624.9034171428676,0.4554761904761905,0.07205534748249597,0.2782609977324171,0.6651689160652696,False,24,15000
0.3,24,-630.507840000011,0.4782506448412699,0.03708395541611992,0.15522342645017062,0.6662063972460298,False,24,15000
0.1,24,-634.4766400000118,0.49857083333333324,0.022037405051378293,0.015160695238893851,0.666652611561765,False,24,15000
