T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-325.0020088888465,0.03644903549382716,0.13287349207558918,0.1083858740222051,0.3135901462509253,False,12,5000
1.7,24,-350.5484177777741,0.03955891203703704,0.16478699575143488,0.1532440290441176,0.30574435039881187,False,12,5000
1.5,24,-371.09975111113164,0.043036496913580254,0.19569457196866782,0.20149626998399614,0.31601126673464075,False,12,5000
1.3,24,-396.8351111110631,0.04948221450617284,0.2619072075307806,0.31570185960681124,0.3009704638842783,False,12,5000
1.2,24,-413.639928888888,0.05518406635802468,0.31838135115991567,0.42387720576060267,0.2970474202354795,False,12,5000
1.1,24,-434.7021066666484,0.06507943672839506,0.4329219148648023,0.6739578026554123,0.26574943388729744,False,12,5000
1.0,24,-465.8245511111284,0.08998043981481481,0.6650368671270775,1.3619170928935198,0.29035807146426096,False,12,5000
0.9,24,-520.01311111111,0.1676329475308642,1.2034060558812627,5.478078444486359,0.35240136165535096,False,12,5000
0.8,24,-581.2447377777823,0.3473175540123457,0.710152740035615,5.327167308769495,0.6242493144235857,False,12,5000
0.7,24,-607.0491200000046,0.414630787037037,0.30436645763679193,1.1493125209435715,0.6591558238282076,False,12,5000
0.5,24,-624.8490971428674,0.45543824404761907,0.07527246656172792,0.2887526977749246,0.6651246945402515,False,12,15000
0.3,24,-630.5207200000099,0.4783760912698413,0.03664383479594512,0.15199508766054137,0.6662161350626457,False,12,15000
0.1,24,-634.4801714285829,0.4985875496031746,0.021845233004569302,0.014866346017736731,0.6666528815793566,False,12,15000
