T,L,E,M,Ms,Cv,chi,chi_s,U,periodica,intento,tao,h
2.0,24,-335.78023111111975,21.9366680740428,0.0383358024691358,0.1344537408719033,0.23955577808168738,0.1208225630589849,0.31041157314943735,True,30,5000,0.0
1.7,24,-361.34615111107456,21.852447723383925,0.04201118827160494,0.1658205144572113,0.2790559867751684,0.17070892091301548,0.31266706411211254,True,30,5000,0.0
1.6,24,-370.9380800000158,21.582009288682475,0.04387908950617284,0.17907075053818186,0.28776534505637813,0.1986775368034122,0.3105970964245367,True,30,5000,0.0
1.5,24,-381.9224355555508,21.640274660563097,0.04624741512345679,0.2010433029674549,0.312482787579134,0.2356695128663694,0.305616927217627,True,30,5000,0.0
1.4,24,-394.03708444442964,21.345347881158197,0.04972554012345679,0.22548958556706966,0.32317563215799017,0.29591473092053666,0.2986029317408684,True,30,5000,0.0
1.3,24,-407.9692444444438,21.23428368258483,0.0541068287037037,0.2651904082272384,0.34206276147135317,0.3775601834698483,0.2957354917276894,True,30,5000,0.0
1.2,24,-424.9883733333081,20.976200528877136,0.062090625,0.3323982337996591,0.36279567728891104,0.5544353435635284,0.2789271826519131,True,30,5000,0.0
1.1,24,-448.3996088888941,20.271238416924067,0.0789591049382716,0.5025427607232636,0.3765888979081548,1.0183228391944135,0.24821802651163072,True,30,5000,0.0
1.0,24,-507.8559644444229,17.727561609742004,0.18245381944444444,2.636443982219791,0.32341302544107964,7.0309958503009256,0.27691241281685564,True,30,5000,0.0
0.9,24,-648.88291555556,7.8088042487944715,0.4698211033950617,0.7473937083465307,0.08146367974044282,0.2244489224499091,0.664683270404563,True,30,5000,0.0
0.8,24,-675.5874666666775,4.304393235705874,0.4908672453703703,0.2690666263501068,0.03380029158386087,0.03714622252129374,0.6663871140176343,True,30,5000,0.0
0.7,24,-685.7691733333475,2.053332148174485,0.49716392746913585,0.11069738892421932,0.016265952624133776,0.00954359920510279,0.6666048565553547,True,30,5000,0.0
0.6,24,-689.7615111111256,0.6606964289682451,0.49931450617283957,0.03711665565530029,0.005985732066931187,0.002142515683534185,0.6666548364211614,True,30,5000,0.0
0.5,24,-690.9386971428718,0.12759635438987457,0.49988348214285716,0.009237839007255388,0.0013374771317342144,0.0003705702918921361,0.6666649624705032,True,30,15000,0.0
0.4,24,-691.1752000000147,0.011771092254507015,0.49998968253968257,0.001335985120299988,0.000136299467583558,3.456893415521023e-05,0.6666665393241856,True,30,15000,0.0
0.3,24,-691.1991771428717,0.0003428473472186509,0.49999970238095237,7.617742017760908e-05,3.967460359570642e-06,9.918933940866737e-07,0.6666666639209591,True,30,15000,0.0
0.2,24,-691.2000000000147,0.0,0.5,2.526374171591467e-12,0.0,0.0,0.6666666666666667,True,30,15000,0.0
0.1,24,-691.2000000000147,0.0,0.5,1.0105496686365867e-11,0.0,0.0,0.6666666666666667,True,30,15000,0.0
