T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,16,-149.08586666667475,0.057044444444444446,0.13381322333333756,0.11948624507716049,0.3089823249756849,True,12,5000
1.7,16,-160.57774222222326,0.06311527777777778,0.16381212354053612,0.1715169302106027,0.30948632286529754,True,12,5000
1.5,16,-169.77260444444414,0.06937916666666667,0.1997684994891655,0.23616325166666652,0.3036780126269726,True,12,5000
1.3,16,-181.64737777777748,0.08183958333333333,0.2783246933851886,0.39001880747863266,0.2871378973705989,True,12,5000
1.2,16,-189.82311111111088,0.09462447916666666,0.3630344885974345,0.6007397835069447,0.24878405850120544,True,12,5000
1.1,16,-201.78145777777596,0.12235208333333333,0.6596505888695006,1.241610981313131,0.17960395745467883,True,12,5000
1.0,16,-236.02261333328622,0.2588722222222222,2.5213252247110916,4.606831085524689,0.432435325683563,True,12,5000
0.9,16,-288.0199999999911,0.4670462673611111,0.8032653549383122,0.41831390575918054,0.6605621579824033,True,12,5000
0.8,16,-300.110577777777,0.4906510416666667,0.2758908209875343,0.03811458333332851,0.6660361617453652,True,12,5000
0.7,16,-304.7729066666679,0.4971434027777778,0.11201886476189375,0.009697513051136752,0.6665276026093515,True,12,5000
0.5,16,-307.09017142857164,0.4998957589285714,0.008621526326351159,0.00029666864797661674,0.6666636175312759,True,12,15000
0.3,16,-307.19986285714305,0.49999988839285714,2.8570612029296982e-05,3.7201317582002957e-07,0.6666666643597114,True,12,15000
0.1,16,-307.20000000000016,0.5,5.684341886080801e-12,0.0,0.6666666666666667,True,12,15000
