T,L,E,M,Ms,Cv,chi,chi_s,U,periodica,intento,tao,h
2.0,24,-0.7468407253087432,187.4373013933024,0.033785262345679,0.2081576664835312,0.6400407796856294,0.094162945903635,0.3090355524789296,True,1,5000,0.5
1.7,24,-0.8150805709876768,220.83189262460837,0.0341753086419753,0.2526021872954051,0.7589099977994593,0.1129936057774551,0.3081957366149856,True,1,5000,0.5
1.6,24,-0.8410705324075056,234.3928801582187,0.0344801311728395,0.2784327905563759,0.807663906629688,0.1226563461157191,0.307007199894441,True,1,5000,0.5
1.5,24,-0.8701121990740825,249.81098197817823,0.0349211805555555,0.2966551077628268,0.862875583544295,0.1346644549331275,0.3043602040204425,True,1,5000,0.5
1.4,24,-0.9011794367283957,267.38090264660786,0.0346342206790123,0.3258715864612566,0.9347345176868096,0.1420430825243728,0.3104252362082312,True,1,5000,0.5
1.3,24,-0.9361110339505377,287.5649430012666,0.0345363425925925,0.3616990795508997,1.0219781931626433,0.1529012391025641,0.3036715227808443,True,1,5000,0.5
1.2,24,-0.9740397299382776,310.732650385547,0.0343337577160493,0.4044927212791163,1.1381596521616717,0.1657192002736341,0.2968710883441859,True,1,5000,0.5
1.1,24,-1.0165295987654313,338.09964223017266,0.0337614197530864,0.4517622124811675,1.27246839815738,0.1765373727896246,0.2902025804750676,True,1,5000,0.5
1.0,24,-1.0642635725308571,370.71776182751495,0.0323407021604938,0.5031248881523425,1.440823239922237,0.1777216782913238,0.2872002287605499,True,1,5000,0.5
0.9,24,-1.1162681712962956,409.6636963623031,0.0304055169753086,0.540328733720265,1.5724737315827886,0.1789808686547404,0.274496926781954,True,1,5000,0.5
0.8,24,-1.173994297839498,456.8516255194329,0.0262358410493827,0.5820965186727118,1.707414714838554,0.1583333375246484,0.2356161686045519,True,1,5000,0.5
0.7,24,-1.2296084567901124,508.1865291882403,0.0199763888888888,0.5271521794227433,1.5166619684682052,0.1209952687830688,0.1356974734719264,True,1,5000,0.5
0.6,24,-1.2739800077160424,551.4459678673808,0.011257137345679,0.328890782132891,0.8122552826285688,0.075602664573331,-0.2885839527071618,True,1,5000,0.5
0.5,24,-1.2944136507936355,571.2915630981972,0.0033114087301587,0.1079587199977443,0.1715658916275262,0.0282513589455782,-1.779504306948326,True,1,15000,0.5
0.4,24,-1.2994486111110954,575.5834976143539,0.0003462301587301,0.0162085188473307,0.0155903566721665,0.0036617049319727,-15.343572166929691,True,1,15000,0.5
0.3,24,-1.299995763888873,575.9973143624468,2.331349206349206e-06,0.0002118560542491,8.924142329541846e-05,2.2310993008314436e-05,-945.7764060356652,True,1,15000,0.5
0.2,24,-1.299999999999984,576.0,0.0,0.0,0.0,0.0,,True,1,15000,0.5
0.1,24,-1.299999999999984,576.0,0.0,0.0,0.0,0.0,,True,1,15000,0.5
