T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-0.5647002932098947,0.0364082175925925,0.1335003495802122,0.1091364487307098,0.3072313901590937,False,5,5000
1.7,24,-0.6083122685184685,0.0395576388888888,0.163312665203559,0.1507426866194625,0.3097013672744214,False,5,5000
1.5,24,-0.6437893518518453,0.0431399691358024,0.1957206241426275,0.2055055250663009,0.3034943603469905,False,5,5000
1.3,24,-0.6897014814814811,0.0493694058641975,0.2603012764233723,0.3135566872263113,0.2985837968337043,False,5,5000
1.2,24,-0.7177428086419828,0.054574537037037,0.3148768994098412,0.4155372133744857,0.2985997796766314,False,5,5000
1.1,24,-0.7545889506172544,0.0659420524691358,0.42427593233174,0.6636703987997256,0.2978197995135909,False,5,5000
1.0,24,-0.8095726234567514,0.0895369212962962,0.6877520228206575,1.3794946157330263,0.272296589957145,False,5,5000
0.9,24,-0.902275787036972,0.1614616512345678,1.191923661562512,5.21593517813977,0.3301836192821865,False,5,5000
0.8,24,-1.0110726080246975,0.3560224151234568,0.6642215727824109,4.089724407149136,0.6335345833338077,False,5,5000
0.7,24,-1.0544977006173022,0.4157860725308642,0.2795185631977736,1.088308622838236,0.6594851794446923,False,5,5000
0.5,24,-1.0849006349206478,0.4559775297619048,0.0728546611660729,0.2683301302465608,0.6652283177279215,False,5,15000
0.3,24,-1.0946412698412897,0.4783321428571429,0.0373839848831311,0.1536069681784013,0.6662106991434324,False,5,15000
0.1,24,-1.1015410714285925,0.4986213789682539,0.0214231541778846,0.0146254839997261,0.6666531090079904,False,5,15000
