T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,16,-0.583256805555592,0.0572411458333333,0.1354317548135739,0.1204393434375,0.3066816771009441,True,28,5000
1.7,16,-0.6269014583333338,0.0633753472222222,0.1658113528296714,0.1740276903413216,0.3094301804581766,True,28,5000
1.5,16,-0.663458958333332,0.0694186631944444,0.1984640858814638,0.2365436815727883,0.3060133396202723,True,28,5000
1.3,16,-0.7098242361111101,0.0819013020833333,0.2742921448162624,0.3887160256276709,0.2876488074819442,True,28,5000
1.2,16,-0.7413672916666666,0.0941244791666666,0.3561047070293218,0.580380528877315,0.2684176138324918,True,28,5000
1.1,16,-0.7876965277777719,0.1221815972222222,0.6378532609937604,1.2062572583052753,0.196480209802105,True,28,5000
1.0,16,-0.9196270138887087,0.2551776041666667,2.5830270411840104,4.764825105486111,0.4199561940358631,True,28,5000
0.9,16,-1.1218220833332995,0.4619094618055555,0.9308815567078312,0.8639597740719375,0.6566400933688257,True,28,5000
0.8,16,-1.1721278472222256,0.4905519097222222,0.2807154863404548,0.0388431689718338,0.6660239351994264,True,28,5000
0.7,16,-1.1907547222222215,0.4972443576388889,0.107121367034324,0.0090256282379743,0.6665371306706405,True,28,5000
0.5,16,-1.1995583035714295,0.4998875,0.0089953648241589,0.0003461985714352,0.6666631122968538,True,28,15000
0.3,16,-1.2000000000000006,0.5,6.315935428978668e-13,0.0,0.6666666666666667,True,28,15000
0.1,16,-1.2000000000000006,0.5,5.684341886080801e-12,0.0,0.6666666666666667,True,28,15000
