T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,16,-149.2645688888973,0.05723116319444444,0.13288548412839418,0.11973444173514664,0.31224777466567133,True,19,5000
1.7,16,-160.6186844444452,0.06317925347222222,0.1679760371647669,0.171010943599083,0.31171021636164054,True,19,5000
1.5,16,-169.92072888888873,0.06964105902777777,0.20196711512702828,0.23755448144933147,0.3045672384676329,True,19,5000
1.3,16,-181.56609777777737,0.08210590277777778,0.27242485817151435,0.39017571877967705,0.2928760501925538,True,19,5000
1.2,16,-189.74741333333313,0.09444522569444444,0.36307453938275974,0.5868162309011704,0.25724014825809005,True,19,5000
1.1,16,-201.8113599999986,0.123584375,0.657498986510533,1.2529750616161623,0.18597215755357355,True,19,5000
1.0,16,-237.34497777772785,0.26553498263888886,2.611744562932273,4.7456886374054825,0.4428358623053297,True,19,5000
0.9,16,-287.8968355555345,0.4643215277777778,0.8285012805837045,0.7391681836076774,0.6580944721358312,True,19,5000
0.8,16,-300.20634666666257,0.49069713541666665,0.28285409442698745,0.045012636089412084,0.6659512776383247,True,19,5000
0.7,16,-304.8158222222231,0.49719383680555557,0.11003383194747586,0.009566468449630099,0.6665294439926961,True,19,5000
0.5,16,-307.0831314285716,0.4998831473214286,0.009595446783578154,0.00039144637116805825,0.6666626605061429,True,19,15000
0.3,16,-307.1997257142859,0.4999997767857143,5.713959265247266e-05,7.440051064122599e-07,0.6666666620528839,True,19,15000
0.1,16,-307.20000000000016,0.5,5.684341886080801e-12,0.0,0.6666666666666667,True,19,15000
