T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,16,-0.5826867361111651,0.0572965277777777,0.1335988766293212,0.1200349506790123,0.3104876116418449,True,22,5000
1.7,16,-0.6271692361111111,0.0630346354166666,0.1664360950194385,0.1732781882250816,0.3020569085523936,True,22,5000
1.5,16,-0.6634629166666656,0.0694999131944444,0.2019097635357904,0.2381550754616769,0.3023944973748883,True,22,5000
1.3,16,-0.7098195833333332,0.0814909722222222,0.2749626958842958,0.3896065138651471,0.2855182964549952,True,22,5000
1.2,16,-0.7411139583333332,0.0948907986111111,0.3580218101156952,0.5820406504565331,0.2726304240562764,True,22,5000
1.1,16,-0.7889639583333261,0.1246121527777777,0.656065530495879,1.2520211787598203,0.2071153477742474,True,22,5000
1.0,16,-0.9236125694442563,0.2620611979166666,2.5796838204431936,4.7000561766493085,0.4377747163239736,True,22,5000
0.9,16,-1.1239437499999227,0.4651017361111111,0.8509026762687375,0.6419862766117983,0.6588596453239086,True,22,5000
0.8,16,-1.1726688194444432,0.4907706597222222,0.267368513192423,0.0374880457079473,0.6660487641253934,True,22,5000
0.7,16,-1.1904459722222211,0.4971200520833333,0.1128730509347461,0.0097173491815486,0.6665271583810785,True,22,5000
0.5,16,-1.1995677678571437,0.4998907366071428,0.0088506915833477,0.0003374142793433,0.6666632040176927,True,22,15000
0.3,16,-1.1999983928571434,0.4999996651785714,8.570694060633994e-05,1.1159757680919331e-06,0.6666666597461842,True,22,15000
0.1,16,-1.2000000000000006,0.5,5.684341886080801e-12,0.0,0.6666666666666667,True,22,15000
