T,L,E,M,Ms,Cv,chi,chi_s,U,periodica,intento,tao,h
2.0,24,-0.5825625308642058,21.9120019555121,0.0380565200617284,0.1331628147220966,0.2385793341888666,0.1210097412444272,0.3018791882865612,True,34,5000,0.0
1.7,24,-0.6268010185185414,21.6988066931846,0.0419121141975308,0.1656515247964316,0.2753739102166517,0.1682873673424515,0.3137161198690609,True,34,5000,0.0
1.6,24,-0.6445627777778413,21.82600386658074,0.0439834876543209,0.181398759097225,0.2885565122635423,0.1998225615655006,0.3069792844884783,True,34,5000,0.0
1.5,24,-0.6632823456789451,21.574765005222105,0.0464283950617284,0.1955415720520384,0.3082229526365446,0.2421156928577958,0.2987543165218322,True,34,5000,0.0
1.4,24,-0.6845513271605125,21.577120508433147,0.0494242669753086,0.2258228483611837,0.3327985073456558,0.2891360505284879,0.3016158743720084,True,34,5000,0.0
1.3,24,-0.7083944444443476,21.312104175462768,0.0543632716049382,0.2690329297976194,0.3475186750614832,0.3814787068587101,0.3004923228199792,True,34,5000,0.0
1.2,24,-0.7378603395061848,20.826159418679584,0.0624016975308641,0.3288948557289578,0.3581430522329806,0.5540221105509833,0.2811420677742215,True,34,5000,0.0
1.1,24,-0.7786289814815143,20.251149974445013,0.0801287037037037,0.5155176563655878,0.3770532618561344,1.0740441544332195,0.2349248561785636,True,34,5000,0.0
1.0,24,-0.8865287654320585,17.736094753449922,0.1888144290123456,2.994071821660024,0.3270446560019334,7.915773966992462,0.2661520693094862,True,34,5000,0.0
0.9,24,-1.1262892901234627,7.770227328281594,0.4692500385802469,0.7524804629858048,0.0791906334940855,0.3479265236616236,0.6642321797478519,True,34,5000,0.0
0.8,24,-1.1724178395061968,4.354836559187573,0.4906402391975309,0.2782944185153407,0.0350735825576799,0.039522739813711,0.6663694437972019,True,34,5000,0.0
0.7,24,-1.1905141049382946,2.052665496322304,0.4971597222222222,0.111160197476009,0.0158840816970886,0.0094688977072467,0.6666053408238336,True,34,5000,0.0
0.6,24,-1.1974987962963213,0.6566965178551588,0.4993185956790123,0.0369015477499038,0.0059073600129066,0.0020797235882774,0.6666551810113899,True,34,5000,0.0
0.5,24,-1.199548888888914,0.1223965029570583,0.4998852182539683,0.0094287839512819,0.0012550884837151,0.0003659733673231,0.666664983702365,True,34,15000,0.0
0.4,24,-1.1999636111111365,0.0095997257221222,0.4999915674603174,0.0011204314691642,0.0001037637134173,2.6435303306371335e-05,0.6666665692403944,True,34,15000,0.0
0.3,24,-1.1999995238095493,0.0001142824490728,0.4999999007936508,2.5395377038584243e-05,1.322637949465285e-06,3.306688789450618e-07,0.6666666657513276,True,34,15000,0.0
0.2,24,-1.2000000000000255,0.0,0.5,2.526374171591467e-12,0.0,0.0,0.6666666666666667,True,34,15000,0.0
0.1,24,-1.2000000000000255,0.0,0.5,1.0105496686365867e-11,0.0,0.0,0.6666666666666667,True,34,15000,0.0
