L,periodica,T,E_mean,E_sem,Ms_mean,Ms_sem,Cv_mean,Cv_sem,chi_s_mean,chi_s_sem,U_mean,U_sem,n_intentos
16,False,0.1,-269.7515697142841,0.04753678814670641,0.4955137276785714,0.002494865043458676,0.03067677547397801,0.00010511779812825444,0.020828258099488427,0.00013311823705653648,0.6666213804750692,2.1961843767252337e-06,100
16,False,0.5,-263.4450691428535,0.029880545568288196,0.43321994419642856,0.0020855057899514732,0.11396865364542005,0.001794499398148822,1.1500642395280594,0.2515078613136338,0.6558000296533498,0.0023145210643333784,100
16,False,0.6,-259.4681171428391,0.046649367921110005,0.40304314732142854,0.0022705968643007613,0.21581598564517254,0.0027952483777560714,2.1120871275058475,0.2212097611126727,0.6428800226631709,0.002515865113160328,100
16,False,0.7,-251.17722914283672,0.08089852711133039,0.33447618303571425,0.0026462823696398897,0.4672209163585375,0.004068500631123777,4.300399478493987,0.14500852780988338,0.5873600901383872,0.004031676682700092,100
16,False,0.8,-234.05524171428252,0.08106320876754589,0.21585630022321425,0.0013913076417741057,0.7855638393788021,0.0029130959716790516,4.013896452390585,0.021090438819324642,0.41514008407846864,0.004045710403580577,100
16,False,0.9,-214.60871142857104,0.04729505038989886,0.13903712611607139,0.0005405560331439017,0.6834998440776998,0.002641138762672083,1.7113602523977824,0.013800122761657,0.28719446421983225,0.0023741686250084364,100
16,False,1.0,-199.68601057142823,0.024419355146393505,0.1042176032366071,0.00016892543626867312,0.49488239561244013,0.0011789728258566016,0.8305562883438298,0.0036223017023210087,0.28504973862100813,0.0016834145692693006,200
16,False,1.1,-188.7607525714282,0.03011284061969465,0.0862718024553571,0.00014845032389569884,0.3691623210312686,0.000984537449440475,0.5099623152503189,0.002060242469408929,0.29114372731921134,0.0020407923815589034,100
16,False,1.2,-180.32276628571395,0.02505386833758107,0.07602943080357139,9.823811643754274e-05,0.2964645727635196,0.0006705464521144678,0.3592165039049213,0.0012458357410835713,0.29904695793153274,0.0015335020664461734,100
16,False,1.3,-173.38244228571384,0.022722670362882374,0.0696795368303571,7.014980359702549e-05,0.24895399847482236,0.0005416947996402849,0.27565803588537574,0.0007890457330387778,0.3029027761816593,0.001375360446260941,100
16,False,1.4,-167.43690800000007,0.02155063006427854,0.06510880580357138,6.1009791458902625e-05,0.21736058777248093,0.0005384298114531057,0.22307140693217015,0.0005698199749502284,0.3050495929799718,0.0011001869798437625,100
16,False,1.5,-162.17064628571427,0.02163051528255972,0.06188301897321424,5.129248364639248e-05,0.19352916275708634,0.0004000430876784997,0.18725894788318448,0.0003715134703888208,0.30846070037889395,0.0009121402240687669,100
16,False,2.0,-141.9192857142876,0.021855835009764814,0.05311331473214282,3.563633971911459e-05,0.13166227537729613,0.0002994229828586506,0.10334663191964281,0.00019106500926889812,0.3112624694222963,0.000835584524697728,100
16,False,2.5,-127.198907428574,0.027027888972180076,0.0491775055803571,3.125183902284202e-05,0.10122969457534663,0.00021441791336711483,0.07056611258832905,0.00013519216910620386,0.31310831318634613,0.0009527141772725262,100
16,False,3.0,-115.53448400000107,0.02883856857048598,0.046694854910714234,2.8972158683448797e-05,0.08219769959644278,0.0001774656142232296,0.05310509496545488,9.22877758512418e-05,0.31279248483572586,0.0009044029308952183,100
16,False,3.5,-105.94222400000093,0.033006530327685926,0.04512255580357139,3.0648950308313346e-05,0.06858215103057061,0.00014845023497854414,0.04243408521501453,7.877970844382198e-05,0.314415020975222,0.0008737052230747926,100
