T,L,E,Ms,Cv,chi_s,U,periodica,intento
2.0,16,-142.01188571428622,0.05331640625,0.13164267454081724,0.10610172795758938,0.29648357302569583,False,7
1.5,16,-162.05822857142857,0.061728236607142856,0.19182812153629433,0.1814537792835884,0.3133501290554197,False,7
1.0,16,-199.6485142857139,0.10315290178571429,0.4978198239668359,0.8104194435586733,0.2896098912928915,False,7
0.5,16,-263.6122857142824,0.4404921875,0.10619371301004321,0.27191373660713225,0.6631995619971216,False,7
0.1,16,-269.80091428571245,0.4980228794642857,0.03062467349081998,0.02098066884570926,0.6666230658990796,False,7
3.5,16,-105.79262857143094,0.04531138392857143,0.06955043456788788,0.04357595654154516,0.312966563700091,False,9
3.0,16,-115.88879999999835,0.04659709821428572,0.08186252988095315,0.05294653475765302,0.3067043147972055,False,9
2.5,16,-127.40737142857466,0.04909765625,0.10052399461020287,0.0683336323660714,0.3249330490656066,False,9
2.0,16,-142.05377142857756,0.05333816964285714,0.1289942522927312,0.10806996476403063,0.28337970714913874,False,9
1.5,16,-162.55999999999884,0.06269698660714286,0.18843015873015803,0.1901968745216836,0.3182612117019201,False,9
1.0,16,-199.4771428571415,0.10143080357142857,0.49931228954085327,0.7802131938775512,0.2999963473583209,False,9
0.5,16,-263.5603999999973,0.4409453125,0.10806656892873434,0.2570519330357115,0.6633688919314895,False,9
0.1,16,-269.80211428571243,0.49804185267857143,0.030105396672297495,0.020089221141574853,0.6666248643556988,False,9
3.5,16,-106.79742857142934,0.045196428571428575,0.06922044249791744,0.0422840273323615,0.3282512484301153,False,2
3.0,16,-115.5471999999945,0.04682589285714286,0.08539513920635027,0.054917576955782324,0.28668542454370993,False,2
2.5,16,-127.59622857143285,0.048924107142857144,0.10300687682448824,0.06951512806122447,0.3112993365929808,False,2
2.0,16,-141.84531428571657,0.05320926339285714,0.13298366438456455,0.10418765142697706,0.3117496426546814,False,2
1.5,16,-162.2868000000013,0.06169698660714286,0.19001057051587444,0.1903791602359693,0.299357676882269,False,2
1.0,16,-199.55611428571538,0.10326116071428572,0.5148162267346663,0.8598528431122445,0.2548175975199205,False,2
0.5,16,-263.52319999999884,0.43997544642857145,0.10684998285728398,0.28291165561223863,0.6630670437421905,False,2
0.1,16,-269.79874285714106,0.49799609375,0.03149938266346907,0.021634023437542282,0.6666216709644457,False,2
3.5,16,-106.0845714285714,0.045346540178571426,0.06902790878800437,0.04165804662445335,0.33163166279774126,False,8
3.0,16,-115.19377142857488,0.04684933035714286,0.08460745339994229,0.054895777104591814,0.3040664027587364,False,8
2.5,16,-127.20262857143454,0.04964732142857143,0.10029639568163247,0.07228038826530613,0.30475325071048986,False,8
2.0,16,-142.14411428570935,0.052862723214285715,0.12956802141581392,0.10220548070790814,0.31813220831994105,False,8
1.5,16,-161.9098857142873,0.06092857142857143,0.19163022715986877,0.18069760544217686,0.3051691794778012,False,8
1.0,16,-199.28857142856984,0.10305412946428572,0.5080968558673078,0.8453171293845663,0.22692702255634356,False,8
0.5,16,-263.6330857142832,0.4419419642857143,0.10375896729556189,0.2537258290816169,0.6634531111784248,False,8
0.1,16,-269.80057142856964,0.49803348214285714,0.030732015324019805,0.020166951530598,0.6666246753667093,False,8
3.5,16,-106.03188571428129,0.04512779017857143,0.07161055043315236,0.04345990886935131,0.3038426412801746,False,10
3.0,16,-115.05714285714248,0.046148995535714284,0.08379296768707434,0.052208556521045904,0.30582885163099216,False,10
2.5,16,-127.2334285714277,0.04914955357142857,0.10095074443877593,0.0698532596938776,0.3179365016161262,False,10
2.0,16,-141.66782857142968,0.05327064732142857,0.1259196812212977,0.10514510837850771,0.3208858608525582,False,10
1.5,16,-162.47337142856944,0.061836495535714284,0.19496239990931802,0.18761273804209183,0.3117078989783614,False,10
1.0,16,-199.76308571428487,0.10588392857142857,0.49761217709186667,0.8422404706632656,0.2802952764975043,False,10
0.5,16,-263.5500571428519,0.440484375,0.10875102673480797,0.268803714285724,0.6632414986370102,False,10
0.1,16,-269.7967428571411,0.4979799107142857,0.030692284440192445,0.02092602040818292,0.6666231174378634,False,10
3.5,16,-106.1360571428591,0.04512388392857143,0.06682067871616125,0.04204963001093295,0.3137719325955818,False,6
3.0,16,-115.71697142857077,0.04696707589285714,0.08256284125708409,0.0527461143441752,0.3183518617632093,False,6
2.5,16,-127.07594285714569,0.049093191964285715,0.10143830971224474,0.07054369818239792,0.30433417528760354,False,6
2.0,16,-141.79377142857484,0.053573660714285716,0.12904464961415485,0.10154432334183672,0.3242128473339211,False,6
1.5,16,-162.06108571428666,0.061265066964285714,0.19688443446144926,0.1883524463754252,0.30414346122782465,False,6
1.0,16,-199.67131428571398,0.10420479910714285,0.5105338838775708,0.8160357760682402,0.28164104429165604,False,6
