T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-335.76126222219574,0.03827160493827161,0.13380114498752643,0.12036271433470494,0.3095266811215004,True,10,5000
1.7,24,-361.154506666633,0.04179864969135802,0.1636813232363472,0.16962992302055607,0.30854516053692005,True,10,5000
1.5,24,-381.7366222222291,0.04627773919753086,0.19672239860384577,0.23522374464963441,0.3125416517712305,True,10,5000
1.3,24,-408.1426311110796,0.054446257716049384,0.26578848109059816,0.3798132452193466,0.29870718564028964,True,10,5000
1.2,24,-424.88076444442345,0.062352006172839494,0.33827781822554015,0.5494244149405585,0.2850227825062377,True,10,5000
1.1,24,-448.23093333331207,0.07980841049382717,0.5137658651157176,1.0500061214334697,0.24604715567160307,True,10,5000
1.0,24,-509.5620799999406,0.186654012345679,2.8157401455748388,7.50201306825789,0.2742118184028137,True,10,5000
0.9,24,-648.5616533333347,0.4695311728395062,0.7712236124918542,0.2292892361073129,0.6646431682176737,True,10,5000
0.8,24,-675.2144177777899,0.4905855709876543,0.275715755554668,0.038415855962774526,0.6663768343742109,True,10,5000
0.7,24,-685.7903288889025,0.49717731481481486,0.1101985852183299,0.009523428747775549,0.6666050073740727,True,10,5000
0.5,24,-690.9494400000145,0.4998891865079365,0.008745485917542182,0.00034696497729314046,0.6666650709510749,True,10,15000
0.3,24,-691.1998628571578,0.49999995039682543,1.2698047264424487e-05,1.6533910240923433e-07,0.6666666662089842,True,10,15000
0.1,24,-691.2000000000149,0.5,-3.03164900590976e-11,0.0,0.6666666666666667,True,10,15000
