T,L,E,Ms,Cv,chi_s,U,periodica,intento
0.1,16,-269.8027428571431,0.49803738839285716,0.030336346947024133,0.020836823182293074,0.6666233500334617,False,3
0.1,16,-269.7981714285716,0.49799832589285714,0.030248693883549997,0.02051851961098805,0.6666239894158261,False,1
0.1,16,-259.10371428571455,0.21664118303571428,0.014708896674164858,0.029524999202816815,0.666335098744909,False,8
0.1,16,-269.7993714285716,0.49801395089285716,0.030696274245656234,0.020611064253799327,0.6666237925087233,False,7
0.1,16,-265.07748571428596,0.06128236607142857,0.01786895919622111,0.06509955038265458,0.6584648460952064,False,11
0.1,16,-257.93268571428587,0.22113783482142857,0.010176423484153927,0.052228283641593265,0.6660924039274128,False,5
0.1,16,-265.05862857142887,0.2476372767857143,0.022228729625339835,0.062383007015309744,0.6661675628441475,False,6
0.1,16,-251.95485714285726,0.17069866071428572,0.00665038267015916,0.04235039540816388,0.6658630372181052,False,9
0.1,16,-246.76531428571445,0.11853348214285714,0.005181825264344297,0.022203647959182504,0.6658771238140999,False,10
0.1,16,-249.51508571428593,0.25041573660714284,0.012486994901905744,0.04577963568241472,0.6662998005515437,False,0
0.1,16,-261.06440000000026,0.0612421875,0.11232636605313925,0.051385111607142875,0.6562073505833759,False,4
0.1,16,-265.04200000000026,0.31039620535714285,0.024507366066472965,0.04064500956634021,0.6664550711551476,False,2
0.1,16,-261.08862857142884,0.12381863839285714,0.016663774243852455,0.018843519610971526,0.6660589713106271,False,12
0.1,16,-252.39337142857158,0.21282589285714285,0.0010364081504121712,0.04950936224492608,0.6660979800313929,False,13
0.1,16,-256.3335428571431,0.16056919642857143,0.010087284454129984,0.08436256377550855,0.6649441156635834,False,15
0.1,16,-254.35000000000036,0.1787064732142857,0.007460937484893291,0.13206747130103835,0.6645041067944081,False,17
0.1,16,-265.06171428571463,0.18617912946428572,0.020244387775392166,0.04423334741707308,0.6660239079223169,False,18
0.1,16,-258.304742857143,0.2975904017857143,0.02919657017628196,0.13747327487244831,0.6657650966584353,False,16
0.1,16,-265.8402285714287,0.31045145089285714,0.02436783674397702,0.03468651068239126,0.6664849746451247,False,19
0.1,16,-263.0836000000002,0.36917466517857145,0.017698508924013364,0.04690551578441671,0.6664938521860069,False,14
0.1,16,-253.6744571428573,0.12959654017857142,0.11114692730416206,0.10495761399873516,0.6633323675744343,False,23
0.1,16,-261.9358857142861,0.08609709821428571,0.009822852013030568,0.2424459534438772,0.6499562410275688,False,20
0.1,16,-269.7986857142862,0.49800223214285716,0.031124325261089318,0.02106632653060103,0.666622844183081,False,21
0.1,16,-258.2905142857145,0.27486328125,0.01754967348119862,0.09295996093754866,0.6660712617714255,False,22
0.1,16,-269.80194285714305,0.4980318080357143,0.030677096947329112,0.020970400988531424,0.6666230684615113,False,24
0.1,16,-259.46428571428606,0.2537924107142857,0.020082110955854656,0.11290209183673738,0.6657903570304412,False,26
0.1,16,-265.0448000000004,0.24805357142857143,0.0232874285870821,0.04988827806123197,0.6662663768430781,False,25
0.1,16,-261.1541142857145,0.0445,0.006865039523518133,0.04554883928571507,0.6552770922033584,False,28
0.1,16,-261.4792571428575,0.2976015625,0.01809978443247928,0.08738743303567276,0.6661261714923941,False,29
0.1,16,-263.46931428571463,0.12405580357142858,0.018891110977392597,0.023175331632652174,0.6659044889785501,False,27
0.1,16,-269.79851428571436,0.49800111607142855,0.03162413776180983,0.021289282525600584,0.666622370619364,False,30
0.1,16,-253.1569142857146,0.21832645089285715,0.006667709178032054,0.004323117825251188,0.6666203623752401,False,32
0.1,16,-244.7592571428573,0.08002790178571428,0.0062712130073805375,0.06799577487244912,0.6611474155488357,False,31
0.1,16,-269.80028571428574,0.4980172991071429,0.030571396683853884,0.020689724968079304,0.6666236241219385,False,33
0.1,16,-251.96971428571462,0.12462779017857142,0.004659566320697194,0.08641431042730296,0.6637884302816678,False,34
0.1,16,-255.14337142857164,0.15422433035714286,0.008274131383245729,0.127865991709184,0.6638690734663583,False,35
0.1,16,-258.8000000000002,0.04296875,3.41060513164848e-11,0.0,0.6666666666666667,False,36
0.1,16,-259.50348571428606,0.24257421875,0.014066682388147452,0.07218969308038226,0.666040633365256,False,37
0.1,16,-257.15274285714315,0.08620424107142857,0.006743713026935437,0.21304330038265373,0.6527795496638458,False,38
0.1,16,-261.9057714285718,0.32239676339285717,0.013861988526286947,0.044632314253796324,0.6664508389764199,False,43
0.1,16,-261.8082285714289,0.23105357142857144,0.02886640814949714,0.14297488520405466,0.6653970408394655,False,39
0.1,16,-249.46617142857173,0.2950279017857143,0.020664586730845255,0.059145328443861445,0.6663188398479529,False,40
0.1,16,-259.3863428571431,0.3353705357142857,2.4506057130054155,1.4949025382653147,0.6596745601715237,False,42
0.1,16,-269.798228571429,0.4979921875,0.031123774226671223,0.021699933035677077,0.6666216031435549,False,41
