L,periodica,T,E_mean,E_sem,Ms_mean,Ms_sem,Cv_mean,Cv_sem,chi_s_mean,chi_s_sem,U_mean,U_sem,n_intentos
16,False,0.1,-259.3143662857145,0.7471463496286471,0.23805994977678568,0.014066535903692907,0.08181883419749164,0.03196575523625798,0.10192328054049651,0.029241279408214416,0.6641045566526224,0.0005211932106826976,100
16,False,0.5,-263.3389057142826,0.06192879708376423,0.4257497209821428,0.0043916320938192175,0.11623144177092395,0.0022097309390185908,1.5551242718845677,0.3314496323468165,0.6419720821719628,0.00794111779431201,100
16,False,1.0,-199.6889251428571,0.03677851261303421,0.10412576450892853,0.00021191559094555602,0.4972773343486003,0.0016235942192270997,0.8304067458474171,0.004172825125011447,0.284525069103551,0.0018829338841395969,100
16,False,1.5,-162.14525028571435,0.02109287139496635,0.06188431919642852,4.985626169275693e-05,0.19375666210056966,0.00039321089452938954,0.18742516923681968,0.0004323076793012972,0.308830300414184,0.001041540384341101,100
16,False,2.0,-141.94051085714472,0.021429037475543325,0.05316955357142853,3.343407380231119e-05,0.13174980769610978,0.00028666249291317845,0.10317966885283797,0.00017077105769980553,0.3124204286826023,0.0008936508117395291,100
16,False,2.5,-127.19864285714571,0.025809630189355892,0.04916174107142854,2.935471535148009e-05,0.1013509400498981,0.00024951758936114153,0.07059623342091832,0.0001267652755689047,0.31300006753796966,0.0008017934240089712,100
16,False,3.0,-115.52198685714384,0.0301946212387597,0.04670178013392853,2.8309757607657473e-05,0.08224049066509348,0.00015922418822474047,0.05327782485570785,8.995578104630687e-05,0.31098059617038454,0.000839919738032814,100
16,False,3.5,-105.9638205714297,0.030708572062469297,0.04508779017857138,2.7470301714423234e-05,0.06867036657155352,0.00015910106240182696,0.04255880094068873,7.673643199979744e-05,0.3122630569998995,0.000894950532461964,100
16,True,0.1,-286.7524228571432,2.0179873494594713,0.3458150446428572,0.01578169637243961,0.43594487173513125,0.1893167503945673,0.1295012783641579,0.04434357765112103,0.6639764850147278,0.0008860122315131504,100
16,True,0.5,-307.08262971428604,0.0030080432524505984,0.49985439174107144,2.4858437321033643e-05,0.010047399606144107,0.000690106891955628,0.002505780046239417,0.001576611817222019,0.666645841120088,1.2673953367388404e-05,100
16,True,1.0,-236.21893942856133,0.26764207207112867,0.2601605133928571,0.001546825959344685,2.5872442535255384,0.015834562684418817,4.696737123947704,0.021966822508789723,0.4304563591958269,0.003481150142376931,100
16,True,1.5,-169.82592228571434,0.024397972488866958,0.06943189174107138,5.6591938248880574e-05,0.20067999750249488,0.0004235059784302831,0.23679684832536135,0.0005872781477887403,0.30414334802091536,0.0011714607622526486,100
16,True,2.0,-149.19613142857366,0.022562236490190526,0.0573072321428571,3.6462422881114706e-05,0.13369432193915834,0.0002673697946945697,0.11995372351721935,0.0002283971860732417,0.3119927525094229,0.0008845661285795368,100
16,True,2.5,-134.24301714286628,0.027848332193065005,0.05201915178571425,3.484231240702147e-05,0.10364243013044916,0.00018066093173936746,0.07912773060012751,0.00014862400711717074,0.31211775921350365,0.0009100115861589285,100
16,True,3.0,-122.24508114286554,0.02824353525116357,0.048990781249999955,3.194322411406856e-05,0.0845333343264172,0.00017774110132332666,0.05839063638605438,0.00011440604710088041,0.31428264398322076,0.000921047838362689,100
16,True,3.5,-112.3588560000053,0.031625418874906094,0.046903683035714246,3.040011112233519e-05,0.0708365321057477,0.0001538881296191176,0.04608871655065593,8.83017807445258e-05,0.31086054045218453,0.0009638161910895884,100
24,False,0.1,-608.8038348571412,1.6149730014035715,0.1946617063492063,0.01301261878510906,0.15773325744481143,0.07161558922138808,0.20712488061224413,0.059355065121191396,0.6629161769276234,0.0007062475427066069,100
24,False,0.5,-623.5507834285687,0.24225864950564255,0.40205477182539684,0.010091869102790437,0.09773184880385084,0.004049847176940397,6.372200887110265,1.0543658521544275,0.5916650947409571,0.014933310685158718,100
24,False,1.0,-465.8815211428596,0.07897446863412214,0.08940461805555552,0.0002694998794493084,0.6922459813002191,0.002900670227708753,1.3858357171563207,0.012395132384019417,0.27799902898963,0.003953077027225059,100
24,False,1.5,-370.9966485714287,0.030690491880946236,0.04300111607142853,3.752291476673242e-05,0.19823969342098702,0.0004483046968448489,0.20308922548989033,0.0004830166577168778,0.3081508138260684,0.0011613520766461049,100
24,False,2.0,-324.91168000000096,0.03530770486534125,0.036349513888888844,2.3847212570311024e-05,0.1327082232927415,0.0003047596069182469,0.1083332248246173,0.00023075805226918972,0.3108202398742953,0.0009521157391211724,100
24,False,2.5,-291.6626891428319,0.04014318790259206,0.033395523313492013,1.8760545223199877e-05,0.10205649258546953,0.00024407929228338846,0.07329104219345232,0.00013197445263966157,0.31129051700419647,0.0008200808634339118,100
24,False,3.0,-265.0061159998641,0.045780265015646804,0.03161781001984122,2.004696663407049e-05,0.08277233998360382,0.0001754822504610989,0.054727144581797955,9.516499896968674e-05,0.31157926557224286,0.0008360512290440595,100
24,False,3.5,-243.20574914271947,0.04894130055937658,0.030465944940476143,1.9734083505031707e-05,0.06932521786033069,0.00014628258058971811,0.043470067584325346,7.681840538925295e-05,0.3122076448011326,0.000892769906066834,100
24,True,0.1,-650.0747474285695,3.3219776076800756,0.3341882638888889,0.01387151510394694,1.3866911652969265,0.7317042373280364,0.637320442736726,0.19784370623242195,0.6642434633427059,0.0007256379109853677,100
24,True,0.5,-690.7787737142821,0.14041100463753448,0.4971111061507936,0.0022790492024093376,0.018549722330014097,0.0067212285586525766,0.5346568582383544,0.3808196714276515,0.6631870017443204,0.0030628101708762125,100
24,True,1.0,-509.0505702857043,0.4850308429454686,0.18454192956349202,0.0015486154707368305,2.720150813870903,0.03688597210025537,7.312111384860402,0.09022907708661088,0.271948907702271,0.005147426914799918,100
24,True,1.5,-381.919694857143,0.033076605008192775,0.046290649801587265,4.2192629700121275e-05,0.19811510414038713,0.00038369892386160253,0.2357210947930838,0.0005050067975649094,0.3062281445958156,0.0010575876872468662,100
24,True,2.0,-335.7228205714284,0.03561689032552909,0.03814217013888884,2.3900476053574146e-05,0.13349450766847956,0.00030023557064422457,0.11946623083351043,0.00026657112048593547,0.31038898099066836,0.0009379739625199779,100
24,True,2.5,-301.986974857135,0.04094478431357427,0.034659258432539634,2.2338204856819413e-05,0.10342345742037255,0.00024285266442199008,0.07893745173171764,0.00016355338232677886,0.31134767390297524,0.000945824483235287,100
24,True,3.0,-275.0834959998943,0.04660399208137251,0.03260938740079361,1.8803655156076155e-05,0.08414109979045149,0.0001763977798629958,0.058171679389999,0.00010769731393267509,0.3116475883715253,0.000884436227194648,100
24,True,3.5,-252.86672799982742,0.0474035606068543,0.03124576388888884,2.3310946651644872e-05,0.07079872943412514,0.0001636212507375092,0.04588205635811462,8.54556310543189e-05,0.3109997362233107,0.0007520617613484794,100
