T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-0.5827177777778171,0.0380269675925925,0.1348911161679085,0.1186401280516975,0.3098623345189905,True,3,5000
1.7,24,-0.6269799382714815,0.0418385802469135,0.1650594951609284,0.1700183087549422,0.3081985247095794,True,3,5000
1.5,24,-0.663344691358024,0.0462909722222222,0.1970950385797168,0.2388037442592593,0.3038515985089655,True,3,5000
1.3,24,-0.7080246604937612,0.0537061728395061,0.2585958117219993,0.3699159675424707,0.3022539906618394,True,3,5000
1.2,24,-0.738236882716011,0.0621834104938271,0.3317156033283987,0.549580812445702,0.2840526979762284,True,3,5000
1.1,24,-0.7786588888888842,0.0799821759259259,0.5158764850280685,1.0422484980639737,0.2386841722278451,True,3,5000
1.0,24,-0.8797646913579839,0.1779854166666666,2.6332902499992894,7.070102110833335,0.2403780925163986,True,3,5000
0.9,24,-1.1268254320987694,0.4700944444444444,0.7538945399678801,0.2198064004115174,0.6647279255417374,True,3,5000
0.8,24,-1.1725884876543404,0.4907598765432099,0.2673305378184269,0.0362624999828264,0.6663929449336041,True,3,5000
0.7,24,-1.1905669753086667,0.4971716049382716,0.1106752813188544,0.0095843996864733,0.6666046414714741,True,3,5000
0.5,24,-1.1995627380952631,0.4998913690476191,0.0088886227272774,0.0003260881518407,0.6666651664416531,True,3,15000
0.3,24,-1.1999988095238345,0.499999751984127,6.348299629516314e-05,8.266014006608202e-07,0.6666666643785126,True,3,15000
0.1,24,-1.200000000000026,0.5,-3.03164900590976e-11,0.0,0.6666666666666667,True,3,15000
