T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,16,-0.5549185763889046,0.0531357638888888,0.132731224998075,0.1026435268364197,0.3142059306576185,False,4,5000
1.7,16,-0.5984436458333423,0.0574118923611111,0.1628159184150392,0.1419071541110657,0.311391172255098,False,4,5000
1.5,16,-0.633334409722221,0.0615477430555555,0.1958898167405765,0.1865577406121399,0.303866558477998,False,4,5000
1.3,16,-0.6771523958333299,0.0699722222222222,0.2488640950542293,0.2754324602326684,0.3045920398822586,False,4,5000
1.2,16,-0.7047753819444477,0.0761198784722222,0.3019639336932143,0.3601286188255529,0.2975485934135942,False,4,5000
1.1,16,-0.7365527430555661,0.0856305555555555,0.3751385680131734,0.4973841657968573,0.2953656184632335,False,4,5000
1.0,16,-0.7807251041666705,0.1046038194444444,0.4902324541083374,0.8465853948765432,0.2781031659287226,False,4,5000
0.9,16,-0.8381862847222098,0.1386953993055555,0.6825862786827117,1.7057567870348944,0.2815761983520167,False,4,5000
0.8,16,-0.9155649999999438,0.2185865451388889,0.7925136641666163,4.174456402659623,0.4189024620468325,False,4,5000
0.7,16,-0.9819467708329519,0.3379858506944444,0.4579074392239591,4.5568642432512165,0.5949254581443064,False,4,5000
0.5,16,-1.0295662053570946,0.4405738839285714,0.1075191487980191,0.2671077693622266,0.6632552562686309,False,4,15000
0.3,16,-1.0440721428571365,0.4702575892857142,0.0530512434472206,0.1736535282313175,0.6654818546434413,False,4,15000
0.1,16,-1.0539014732142786,0.4980041294642857,0.0309529872993152,0.0210042509884544,0.6666229892945843,False,4,15000
