T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-0.5827778703704038,0.0383741898148148,0.1347806629617467,0.1207518255825618,0.3137193917969957,True,14,5000
1.7,24,-0.6268292592593019,0.0419814429012345,0.1658986380691084,0.1711911692684378,0.3075810194696776,True,14,5000
1.5,24,-0.6632635802468644,0.0463719907407407,0.1952291302911171,0.2334226454938275,0.3119283527240644,True,14,5000
1.3,24,-0.7087365740740856,0.0547080632716049,0.2609909824677277,0.3817146749439435,0.3018424764533188,True,14,5000
1.2,24,-0.7381152777777564,0.0618108024691358,0.3354452296811329,0.5385743437814352,0.2869932629418633,True,14,5000
1.1,24,-0.778037685185185,0.0790027391975308,0.4978942383471212,1.003593174802813,0.2629686798652089,True,14,5000
1.0,24,-0.8809893209876046,0.1773874228395061,2.6791565130778405,7.186904607403979,0.2367976416365006,True,14,5000
0.9,24,-1.1259588580246935,0.4683356095679012,0.7787287009168858,0.5111617473698793,0.6635456389115466,True,14,5000
0.8,24,-1.1724716049382924,0.4907094521604938,0.2756568360766209,0.0382816221697135,0.666378521717437,True,14,5000
0.7,24,-1.1907067283950827,0.4972106867283951,0.1093731257201078,0.0094576837141526,0.6666054533157318,True,14,5000
0.5,24,-1.1995344444444698,0.4998820932539683,0.0095344042674696,0.0003638460061559,0.6666649928659468,True,14,15000
0.3,24,-1.1999997619047873,0.4999999503968254,1.2698055124255242e-05,1.6533910240923433e-07,0.6666666662089842,True,14,15000
0.1,24,-1.2000000000000255,0.5,1.0105496686365867e-11,0.0,0.6666666666666667,True,14,15000
