mcs,E,M,Ms,E_prom,E2_prom,M_prom,M2_prom,Ms_prom,Ms2_prom,Ms4_prom
14,-269.9999999999982,0,0.0,269.2799999999982,72514.70933333239,0.9333333333333333,8.8,0.0049479166666666664,0.00015970865885416667,3.231844554344813e-07
15,-269.9999999999982,0,0.0,269.3249999999982,72538.78999999905,0.875,8.25,0.004638671875,0.00014972686767578125,3.029854269698262e-07
16,-269.9999999999982,0,0.0,269.3647058823512,72560.03764705788,0.8235294117647058,7.764705882352941,0.004365808823529412,0.00014091940487132352,2.8516275479513056e-07
17,-269.5999999999982,-2,0.00390625,269.37777777777603,72566.93333333237,0.8888888888888888,7.555555555555555,0.004340277777777778,0.00013393825954861112,2.69333314564493e-07
18,-269.5999999999982,2,0.00390625,269.3894736842088,72573.10315789378,0.7368421052631579,7.368421052631579,0.004317434210526316,0.00012769197162828947,2.551701312002383e-07
19,-269.5999999999982,2,0.00390625,269.3999999999983,72578.65599999904,0.6,7.2,0.004296875,0.0001220703125,2.4242326617240907e-07
20,-269.5999999999982,-2,0.00390625,269.4095238095221,72583.67999999903,0.6666666666666666,7.0476190476190474,0.00427827380952381,0.00011698404947916667,2.3089038829008737e-07
21,-269.9999999999982,0,0.0,269.43636363636193,72598.05818181722,0.6363636363636364,6.7272727272727275,0.004083806818181818,0.0001116665926846591,2.2039537064053796e-07
22,-269.9999999999982,0,0.0,269.46086956521566,72611.18608695557,0.6086956521739131,6.434782608695652,0.00390625,0.0001068115234375,2.1081296322138413e-07
23,-269.9999999999982,0,0.0,269.4833333333316,72623.21999999904,0.5833333333333334,6.166666666666667,0.0037434895833333335,0.00010236104329427083,2.0202908975382647e-07
24,-269.5999999999982,2,0.00390625,269.4879999999983,72625.65759999905,0.48,6.08,0.00375,9.8876953125e-05,1.9395723938941955e-07
25,-269.9999999999982,0,0.0,269.5076923076906,72636.20923076828,0.46153846153846156,5.846153846153846,0.003605769230769231,9.507399338942308e-05,1.8649734556674957e-07
26,-269.5999999999982,2,0.00390625,269.5111111111094,72637.98518518422,0.37037037037037035,5.777777777777778,0.003616898148148148,9.211787471064815e-05,1.7959865982885713e-07
27,-269.9999999999982,0,0.0,269.5285714285697,72647.34285714189,0.35714285714285715,5.571428571428571,0.0034877232142857145,8.882795061383928e-05,1.7318442197782652e-07
28,-269.9999999999982,0,0.0,269.5448275862052,72656.05517241283,0.3448275862068966,5.379310344827586,0.003367456896551724,8.576491783405172e-05,1.6721254535790148e-07
29,-269.9999999999982,0,0.0,269.5599999999983,72664.1866666657,0.3333333333333333,5.2,0.0032552083333333335,8.290608723958334e-05,1.6163879384597143e-07
30,-269.5999999999982,2,0.00390625,269.56129032257894,72664.83096774099,0.25806451612903225,5.161290322580645,0.003276209677419355,8.072391633064516e-05,1.5643214987170312e-07
31,-269.9999999999982,0,0.0,269.5749999999983,72672.17999999905,0.25,5.0,0.003173828125,7.82012939453125e-05,1.515436451882124e-07
32,-269.1999999999982,0,0.0078125,269.56363636363466,72666.01212121117,0.24242424242424243,4.848484848484849,0.0033143939393939395,7.768110795454545e-05,1.470643011006442e-07
33,-269.5999999999982,-2,0.00390625,269.56470588235123,72666.545882352,0.29411764705882354,4.823529411764706,0.003331801470588235,7.584515739889706e-05,1.427457284401445e-07
34,-269.5999999999982,-2,0.00390625,269.5657142857126,72667.04914285621,0.34285714285714286,4.8,0.0033482142857142855,7.411411830357142e-05,1.3867393136024476e-07
35,-269.9999999999982,0,0.0,269.5777777777761,72673.51999999906,0.3333333333333333,4.666666666666667,0.0032552083333333335,7.205539279513889e-05,1.3482187771134906e-07
36,-269.5999999999982,2,0.00390625,269.57837837837667,72673.80756756663,0.2702702702702703,4.648648648648648,0.003272804054054054,7.052034945101352e-05,1.3118433589870864e-07
37,-269.9999999999982,0,0.0,269.5894736842088,72679.75999999906,0.2631578947368421,4.526315789473684,0.0031866776315789473,6.866455078125e-05,1.2773211653295315e-07
38,-269.5999999999982,-2,0.00390625,269.5897435897419,72679.8728205119,0.3076923076923077,4.512820512820513,0.003205128205128205,6.729517227564103e-05,1.2446290407425317e-07
39,-269.5999999999982,2,0.00390625,269.5899999999983,72679.97999999908,0.25,4.5,0.00322265625,6.59942626953125e-05,1.213571522384882e-07
40,-269.9999999999982,0,0.0,269.5999999999983,72685.34634146249,0.24390243902439024,4.390243902439025,0.0031440548780487807,6.43846465320122e-05,1.1839722169608604e-07
41,-269.9999999999982,0,0.0,269.6095238095221,72690.45714285622,0.23809523809523808,4.285714285714286,0.0030691964285714285,6.285167875744047e-05,1.1557824022713162e-07
42,-269.9999999999982,0,0.0,269.6186046511611,72695.33023255721,0.23255813953488372,4.186046511627907,0.0029978197674418606,6.139001180959302e-05,1.1289037417533785e-07
43,-269.5999999999982,-2,0.00390625,269.6181818181801,72695.07636363544,0.2727272727272727,4.181818181818182,0.003018465909090909,6.034157492897727e-05,1.1032997545870868e-07
44,-269.1999999999982,4,0.0,269.60888888888724,72690.04444444353,0.17777777777777778,4.444444444444445,0.002951388888888889,5.900065104166667e-05,1.0787819822629292e-07
45,-269.9999999999982,0,0.0,269.61739130434614,72694.60869565126,0.17391304347826086,4.3478260869565215,0.002887228260869565,5.771802819293478e-05,1.0553302000398221e-07
46,-269.5999999999982,-2,0.00390625,269.6170212765941,72694.3863829778,0.2127659574468085,4.340425531914893,0.002908909574468085,5.6814640126329786e-05,1.0329259044312417e-07
47,-269.9999999999982,0,0.0,269.62499999999835,72698.66999999908,0.20833333333333334,4.25,0.0028483072916666665,5.5631001790364586e-05,1.0114066147555907e-07
48,-269.9999999999982,0,0.0,269.6326530612228,72702.77877550929,0.20408163265306123,4.163265306122449,0.0027901785714285715,5.449567522321429e-05,9.907656634340481e-08
49,-269.5999999999982,2,0.00390625,269.63199999999836,72702.40639999909,0.16,4.16,0.0028125,5.37109375e-05,9.70996916294098e-08
50,-269.1999999999982,0,0.0078125,269.62352941176306,72697.82274509713,0.1568627450980392,4.078431372549019,0.0029105392156862746,5.385454963235294e-05,9.526882101507748e-08
51,-269.9999999999982,0,0.0,269.63076923076756,72701.71076922986,0.15384615384615385,4.0,0.0028545673076923075,5.2818885216346156e-05,9.343672830324907e-08
52,-269.9999999999982,0,0.0,269.63773584905493,72705.45207547078,0.1509433962264151,3.9245283018867925,0.002800707547169811,5.1822302476415096e-05,9.167377116545192e-08
53,-269.9999999999982,0,0.0,269.6444444444428,72709.0548148139,0.14814814814814814,3.8518518518518516,0.0027488425925925927,5.0862630208333336e-05,8.997610873646207e-08
54,-269.1999999999982,0,0.0078125,269.636363636362,72704.68363636272,0.14545454545454545,3.7818181818181817,0.002840909090909091,5.1047585227272724e-05,8.840791203758933e-08
55,-269.9999999999982,0,0.0,269.64285714285546,72708.17142857051,0.14285714285714285,3.7142857142857144,0.0027901785714285715,5.013602120535714e-05,8.682919932263238e-08
56,-269.9999999999982,0,0.0,269.6491228070159,72711.53684210435,0.14035087719298245,3.6491228070175437,0.0027412280701754384,4.925644188596491e-05,8.530588003627041e-08
57,-269.9999999999982,0,0.0,269.65517241379143,72714.78620689563,0.13793103448275862,3.586206896551724,0.0026939655172413795,4.8407192887931036e-05,8.38350890011623e-08
58,-269.9999999999982,0,0.0,269.6610169491509,72717.9254237279,0.13559322033898305,3.5254237288135593,0.0026483050847457626,4.7586731991525426e-05,8.24141552892782e-08
59,-269.5999999999982,-2,0.00390625,269.6599999999983,72717.36266666575,0.16666666666666666,3.533333333333333,0.0026692708333333334,4.7047932942708336e-05,8.104446654518445e-08
60,-269.9999999999982,0,0.0,269.6655737704901,72720.35672131056,0.16393442622950818,3.4754098360655736,0.002625512295081967,4.627665535348361e-05,7.971586873296831e-08
