T,L,E,M,Ms,Cv,chi,chi_s,U,periodica,intento,tao,h
2.0,24,-0.7464874228394546,187.66182973711696,0.033724074074074,0.2069233133324688,0.6427670767219714,0.094541769382716,0.3047140034136681,True,4,5000,0.5
1.7,24,-0.815341651234642,220.87353614364125,0.0344081018518518,0.2557987340424006,0.7627419757001361,0.1149935285221495,0.3085677026850371,True,4,5000,0.5
1.6,24,-0.841775378086384,234.59274238350255,0.0346373842592592,0.2724982626173833,0.8113598919846193,0.1241012138840663,0.3070291808137684,True,4,5000,0.5
1.5,24,-0.8698198456789163,249.86182529277127,0.0346150462962963,0.294428652688482,0.8663859123519075,0.1320696631893005,0.3067860702550014,True,4,5000,0.5
1.4,24,-0.9012442438272222,267.2117064065243,0.0349103395061728,0.3301083670579882,0.9559097560471248,0.1463830373211835,0.2949917048010767,True,4,5000,0.5
1.3,24,-0.9360335416666542,287.5697428946023,0.0347711805555555,0.3623986934397875,1.0092221526702876,0.1537384619598764,0.3059629091412034,True,4,5000,0.5
1.2,24,-0.9736906018518408,310.5253216595187,0.0342001543209876,0.4089954963229014,1.1410656086490514,0.1635083197416553,0.2916441773046986,True,4,5000,0.5
1.1,24,-1.0169790895061723,338.4697673385036,0.0336261574074074,0.451806621770523,1.265847470451304,0.1770246850448935,0.2821912008956624,True,4,5000,0.5
1.0,24,-1.0648127391975275,371.1447745605653,0.0322523533950617,0.5015160710780846,1.415314296786366,0.1802470958839163,0.2754673119277414,True,4,5000,0.5
0.9,24,-1.1163532175925877,409.58223150596655,0.0300758101851851,0.544965362108939,1.5725683613200203,0.1782118825017146,0.2521853913673831,True,4,5000,0.5
0.8,24,-1.1734041435185163,456.25981644852334,0.0265618441358024,0.5656680234947782,1.6751712146599906,0.1639994788569528,0.2294558720967964,True,4,5000,0.5
0.7,24,-1.2304092206790047,509.0510877536055,0.0196100694444444,0.5210247553101688,1.4870138880762227,0.1177332588073193,0.1391233625622853,True,4,5000,0.5
0.6,24,-1.2737894290123397,551.403079931557,0.0111619598765432,0.3279020650339073,0.7993707092725378,0.0709272760573845,-0.2412135554125738,True,4,5000,0.5
0.5,24,-1.2943325496031632,571.0463129624868,0.003512748015873,0.1070184465206693,0.2082406699775876,0.0353047548497732,-3.3969887973544326,True,4,15000,0.5
0.4,24,-1.299428214285701,575.5725836404674,0.000363492063492,0.016398168759224,0.0159943162414795,0.0038047775510204,-14.348996757196428,True,4,15000,0.5
0.3,24,-1.2999926091269682,575.9962858204051,3.2242063492063487e-06,0.0003603867321263,0.0001077213201588,2.6931098828420257e-05,-929.4703476482616,True,4,15000,0.5
0.2,24,-1.299999999999984,576.0,0.0,0.0,0.0,0.0,,True,4,15000,0.5
0.1,24,-1.299999999999984,576.0,0.0,0.0,0.0,0.0,,True,4,15000,0.5
