T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-0.5827685802469262,0.0381537037037037,0.1326768618924474,0.1214769911111111,0.3014148798199821,True,33,5000
1.7,24,-0.6269445370370267,0.0418396219135802,0.164271507538125,0.1686473854751675,0.3108542341401799,True,33,5000
1.5,24,-0.662807006172925,0.0463173611111111,0.197128584591638,0.2364017329012347,0.3045675602246751,True,33,5000
1.3,24,-0.7081193518517789,0.0542701003086419,0.263348160651647,0.3777558425919333,0.2987387597707234,True,33,5000
1.2,24,-0.7377559259258915,0.0621876929012345,0.3303441025515058,0.5495301825953075,0.288782558437988,True,33,5000
1.1,24,-0.7783000000000094,0.0784725308641975,0.5058067968575272,0.9994536615662798,0.2640188335241691,True,33,5000
1.0,24,-0.8806323765431113,0.1808951774691357,2.790259785941897,7.449540545431247,0.2442674213338523,True,33,5000
0.9,24,-1.1271422839506207,0.4702590277777778,0.7188800771561903,0.2057662942043947,0.6648385932088721,True,33,5000
0.8,24,-1.1725354320987875,0.4907282021604938,0.2736301509737396,0.0378527192376232,0.6663816031650469,True,33,5000
0.7,24,-1.1906846913580487,0.4972007716049383,0.1100578171310783,0.009501208681166,0.6666051636335917,True,33,5000
0.5,24,-1.199576111111135,0.4998917658730158,0.0087392829979459,0.0003460285601093,0.6666650757731343,True,33,15000
0.3,24,-1.1999997619047873,0.4999999503968254,1.2698055124255242e-05,1.6533910240923433e-07,0.6666666662089842,True,33,15000
0.1,24,-1.2000000000000255,0.5,1.0105496686365867e-11,0.0,0.6666666666666667,True,33,15000
