T,L,E,M,Ms,Cv,chi,chi_s,U,periodica,intento,tao,h
2.0,24,-0.5827836728395425,21.89804671007311,0.0383523533950617,0.1332738579587145,0.2403859435512894,0.1204494737444271,0.3123850203117593,True,26,5000,0.0
1.7,24,-0.6269174074073744,21.673518366258527,0.0420559027777777,0.1628027660062421,0.2747588572976581,0.1713585930964051,0.3118747172382382,True,26,5000,0.0
1.6,24,-0.6442210185184233,21.901735516988516,0.0439210648148148,0.180679981541291,0.2990090159082528,0.1976410952739199,0.3109592336251883,True,26,5000,0.0
1.5,24,-0.6626258333332814,21.674762783049264,0.0464962191358024,0.2000658614409154,0.3084958150130798,0.2370974776383173,0.3090480547306635,True,26,5000,0.0
1.4,24,-0.6843472839506333,21.464634119241797,0.0492162422839506,0.2257427636673314,0.3221318947872801,0.2824988951199049,0.3085313682899763,True,26,5000,0.0
1.3,24,-0.7085414506173106,21.21477300504433,0.0540492283950617,0.2643649148792963,0.3493157541331181,0.3732435211986913,0.3019693788765619,True,26,5000,0.0
1.2,24,-0.7377259259259398,20.915046332303728,0.0627329861111111,0.3323973127571115,0.36249490951797,0.5487627496849278,0.2982956593988378,True,26,5000,0.0
1.1,24,-0.7782844753086207,20.290882424835004,0.0801197145061728,0.5049982596383991,0.3723139888789126,1.0587366214545155,0.2410754955813387,True,26,5000,0.0
1.0,24,-0.8837456481480578,17.62791937956934,0.185073649691358,2.8295673372396477,0.3219392147030803,7.667948917283086,0.2651492908325057,True,26,5000,0.0
0.9,24,-1.1259639197530886,7.771071753961023,0.4694654320987654,0.7525377836297601,0.078982366115857,0.2402255754305571,0.6645931237789778,True,26,5000,0.0
0.8,24,-1.1726521913580488,4.312570831759294,0.4907898533950617,0.2723235444431932,0.0345867786020878,0.0371292271851353,0.6663867505340566,True,26,5000,0.0
0.7,24,-1.1906086419753323,2.056043199040021,0.4971729938271605,0.109566956804044,0.0160260249867034,0.0096555675876227,0.6666041920096688,True,26,5000,0.0
0.6,24,-1.1974978395061961,0.6676740516877403,0.4993118827160493,0.0368109664692877,0.0061572104881073,0.0021456148605292,0.6666548204238896,True,26,5000,0.0
0.5,24,-1.199569920634946,0.1196537241793091,0.4998904761904762,0.0088322458278627,0.00125818728623,0.0003500701133454,0.6666650570921769,True,26,15000,0.0
0.4,24,-1.1999582142857397,0.0111425387846061,0.499990128968254,0.0012978809031159,0.0001289217145722,3.321782513054927e-05,0.6666665443340223,True,26,15000,0.0
0.3,24,-1.1999995238095493,0.0001142824490728,0.4999999007936508,2.5395377038584243e-05,1.322637949465285e-06,3.306688789450618e-07,0.6666666657513276,True,26,15000,0.0
0.2,24,-1.2000000000000255,0.0,0.5,2.526374171591467e-12,0.0,0.0,0.6666666666666667,True,26,15000,0.0
0.1,24,-1.2000000000000255,0.0,0.5,1.0105496686365867e-11,0.0,0.0,0.6666666666666667,True,26,15000,0.0
