T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,16,-149.42757333334183,0.057321875,0.1321082019750044,0.11876976166666658,0.31581561423903426,True,20,5000
1.7,16,-160.60986666666724,0.06296102430555556,0.1653812217416351,0.1716879178910221,0.3039799910767057,True,20,5000
1.5,16,-169.80659555555556,0.06924748263888889,0.20032656645212732,0.23836434752957825,0.297783082196836,True,20,5000
1.3,16,-181.6663288888886,0.08256232638888888,0.2757020926576078,0.4073603247803894,0.2784990314349497,True,20,5000
1.2,16,-189.8012977777776,0.09424869791666667,0.35398479481393175,0.5834698752170139,0.26150534185523544,True,20,5000
1.1,16,-201.79267555555398,0.12334626736111111,0.6390815302071434,1.223999814813061,0.20506559804348845,True,20,5000
1.0,16,-236.61022222217537,0.26510772569444446,2.666178480709874,4.752733671525846,0.4429358198611081,True,20,5000
0.9,16,-287.27151999998483,0.46281180555555557,0.9261881580111245,0.7386751233196126,0.6573345465391393,True,20,5000
0.8,16,-300.2521422222258,0.49083619791666666,0.26971100985901936,0.03651083504774277,0.66606132063376,True,20,5000
0.7,16,-304.782613333333,0.49716189236111114,0.1117590413604821,0.009648346491947077,0.6665283733031151,True,20,5000
0.5,16,-307.0835428571431,0.4998858258928571,0.009292946734376528,0.00034578106505023243,0.6666631161008162,True,20,15000
0.3,16,-307.199862857143,0.49999988839285714,2.857061392407761e-05,3.7201317582002957e-07,0.6666666643597114,True,20,15000
0.1,16,-307.20000000000016,0.5,5.684341886080801e-12,0.0,0.6666666666666667,True,20,15000
